station_id,station_group_id,station_name,area,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source,has_article,article_studio_count,article_priority,article_area_link,article_internal_links
100917,100917,新高岡,新高岡,富山県,高岡市,高岡市,富山県高岡市下黒田1872番地,36.727004,137.010459,JR城端線,JR西日本,1,C,23,駅データ.jp,1,0,D,新高岡のレンタルダンススタジオおすすめ,新高岡のレンタルダンススタジオおすすめ|高岡駅のレンタルダンススタジオおすすめ|福岡駅のレンタルダンススタジオおすすめ
101009,101009,新水俣,新水俣,熊本県,水俣市,水俣市,水俣市初野３０５,32.210825,130.428893,肥薩おれんじ鉄道線,肥薩おれんじ鉄道,1,C,23,駅データ.jp,1,0,D,新水俣のレンタルダンススタジオおすすめ,新水俣のレンタルダンススタジオおすすめ
101010,101010,出水,出水,鹿児島県,出水市,出水市,出水市上鯖淵,32.089275,130.357803,肥薩おれんじ鉄道線,肥薩おれんじ鉄道,1,C,23,駅データ.jp,1,0,D,出水のレンタルダンススタジオおすすめ,出水のレンタルダンススタジオおすすめ
1110101,1110101,函館,函館,北海道,函館市,函館市,北海道函館市若松町１２-１３,41.773174,140.727205,JR函館本線(函館～長万部)|函館市電２系統|函館市電５系統|道南いさりび鉄道線,JR北海道|函館市交通局|道南いさりび鉄道,4,C,38,駅データ.jp,1,0,B,函館のレンタルダンススタジオおすすめ,函館のレンタルダンススタジオおすすめ|函館アリーナ前駅のレンタルダンススタジオおすすめ
1110106,1110106,新函館北斗,新函館北斗,北海道,北斗市,北斗市,北海道北斗市市渡,41.9054,140.646525,JR函館本線(函館～長万部),JR北海道,1,C,23,駅データ.jp,1,0,D,新函館北斗のレンタルダンススタジオおすすめ,新函館北斗のレンタルダンススタジオおすすめ
1110138,1110138,長万部,長万部,北海道,山越郡長万部町,山越郡長万部町,山越郡長万部町字長万部,42.512477,140.37507,JR函館本線(函館～長万部)|JR函館本線(長万部～小樽)|JR室蘭本線(長万部・室蘭～苫小牧),JR北海道,3,C,24,駅データ.jp,1,0,C,長万部のレンタルダンススタジオおすすめ,長万部のレンタルダンススタジオおすすめ
1110219,1110219,小樽,小樽,北海道,小樽市,小樽市,小樽市稲穂２丁目,43.197172,140.993653,JR函館本線(小樽～旭川)|JR函館本線(長万部～小樽),JR北海道,2,C,23,駅データ.jp,1,0,D,小樽のレンタルダンススタジオおすすめ,小樽のレンタルダンススタジオおすすめ
1110315,1110315,札幌,札幌,北海道,札幌市,札幌市北区,札幌市北区北６条西４丁目,43.067715,141.35058,JR函館本線(小樽～旭川)|JR千歳線|JR札沼線|札幌市営地下鉄南北線|札幌市営地下鉄東豊線,JR北海道|札幌市交通局,5,S,80,駅データ.jp,1,3,S,札幌のレンタルダンススタジオおすすめ,札幌のレンタルダンススタジオおすすめ
1110327,1110327,岩見沢,岩見沢,北海道,岩見沢市,岩見沢市,岩見沢市有明町南,43.204201,141.759359,JR函館本線(小樽～旭川)|JR室蘭本線(苫小牧～岩見沢),JR北海道,2,C,23,駅データ.jp,1,0,D,岩見沢のレンタルダンススタジオおすすめ,岩見沢のレンタルダンススタジオおすすめ
1110335,1110335,滝川,滝川,北海道,滝川市,滝川市,滝川市栄町４丁目,43.555278,141.900807,JR函館本線(小樽～旭川)|JR根室本線(滝川～富良野),JR北海道,2,C,23,駅データ.jp,1,0,D,滝川のレンタルダンススタジオおすすめ,滝川のレンタルダンススタジオおすすめ
1110342,1110342,旭川,旭川,北海道,旭川市,旭川市,旭川市宮下通８丁目,43.763492,142.357803,JR函館本線(小樽～旭川)|JR宗谷本線|JR富良野線|JR石北本線,JR北海道,4,C,38,駅データ.jp,1,0,B,旭川のレンタルダンススタジオおすすめ,旭川のレンタルダンススタジオおすすめ|新旭川駅のレンタルダンススタジオおすすめ
1110434,1110434,苫小牧,苫小牧,北海道,苫小牧市,苫小牧市,苫小牧市表町６丁目,42.639665,141.596837,JR千歳線|JR室蘭本線(苫小牧～岩見沢)|JR室蘭本線(長万部・室蘭～苫小牧)|JR日高本線,JR北海道,4,C,38,駅データ.jp,1,0,B,苫小牧のレンタルダンススタジオおすすめ,苫小牧のレンタルダンススタジオおすすめ
1110610,1110610,富良野,富良野,北海道,富良野市,富良野市,富良野市日の出町,43.347114,142.391374,JR富良野線|JR根室本線(滝川～富良野),JR北海道,2,C,23,駅データ.jp,1,0,D,富良野のレンタルダンススタジオおすすめ,富良野のレンタルダンススタジオおすすめ
1110731,1110731,釧路,釧路,北海道,釧路市,釧路市,釧路市北大通１４丁目,42.990584,144.381983,JR根室本線(新得～釧路)|JR釧網本線|花咲線,JR北海道,3,C,32,駅データ.jp,1,0,C,釧路のレンタルダンススタジオおすすめ,釧路のレンタルダンススタジオおすすめ|東釧路駅のレンタルダンススタジオおすすめ
1110802,1110802,東釧路,東釧路,北海道,釧路市,釧路市,釧路市貝塚２丁目,42.995207,144.411307,JR釧網本線|花咲線,JR北海道,2,C,23,駅データ.jp,1,0,D,東釧路のレンタルダンススタジオおすすめ,東釧路のレンタルダンススタジオおすすめ|釧路駅のレンタルダンススタジオおすすめ
1110905,1110905,新千歳空港,新千歳空港,北海道,千歳市,千歳市,千歳市美々,42.787546,141.680823,JR千歳線,JR北海道,1,C,23,駅データ.jp,1,0,D,新千歳空港のレンタルダンススタジオおすすめ,新千歳空港のレンタルダンススタジオおすすめ|南千歳駅のレンタルダンススタジオおすすめ|千歳駅のレンタルダンススタジオおすすめ
1110906,1110906,南千歳,南千歳,北海道,千歳市,千歳市,千歳市字平和,42.80804,141.675388,JR千歳線|JR石勝線,JR北海道,2,C,33,駅データ.jp,1,0,C,南千歳のレンタルダンススタジオおすすめ,南千歳のレンタルダンススタジオおすすめ|新千歳空港駅のレンタルダンススタジオおすすめ|千歳駅のレンタルダンススタジオおすすめ
1110907,1110907,千歳,千歳,北海道,千歳市,千歳市,千歳市千代田町７丁目,42.82811,141.651934,JR千歳線,JR北海道,1,C,23,駅データ.jp,1,0,D,千歳のレンタルダンススタジオおすすめ,千歳のレンタルダンススタジオおすすめ|南千歳駅のレンタルダンススタジオおすすめ|新千歳空港駅のレンタルダンススタジオおすすめ
1111502,1111502,旭川四条,旭川四条,北海道,旭川市,旭川市,旭川市四条通１８丁目,43.764056,142.375815,JR宗谷本線|JR石北本線,JR北海道,2,C,23,駅データ.jp,1,0,D,旭川四条のレンタルダンススタジオおすすめ,旭川四条のレンタルダンススタジオおすすめ|新旭川駅のレンタルダンススタジオおすすめ
1111503,1111503,新旭川,新旭川,北海道,旭川市,旭川市,旭川市東八条６丁目,43.780174,142.384789,JR宗谷本線|JR石北本線,JR北海道,2,C,23,駅データ.jp,1,0,D,新旭川のレンタルダンススタジオおすすめ,新旭川のレンタルダンススタジオおすすめ|旭川駅のレンタルダンススタジオおすすめ|旭川四条駅のレンタルダンススタジオおすすめ
