station_id,station_group_id,station_name,area,prefecture,city,ward_or_city,address,latitude,longitude,lines,companies,line_count,importance_rank,importance_score,source
100917,100917,新高岡,新高岡,富山県,高岡市,高岡市,富山県高岡市下黒田1872番地,36.727004,137.010459,JR城端線,JR西日本,1,C,23,駅データ.jp
101009,101009,新水俣,新水俣,熊本県,水俣市,水俣市,水俣市初野３０５,32.210825,130.428893,肥薩おれんじ鉄道線,肥薩おれんじ鉄道,1,C,23,駅データ.jp
101010,101010,出水,出水,鹿児島県,出水市,出水市,出水市上鯖淵,32.089275,130.357803,肥薩おれんじ鉄道線,肥薩おれんじ鉄道,1,C,23,駅データ.jp
1110101,1110101,函館,函館,北海道,函館市,函館市,北海道函館市若松町１２-１３,41.773174,140.727205,JR函館本線(函館～長万部)|函館市電２系統|函館市電５系統|道南いさりび鉄道線,JR北海道|函館市交通局|道南いさりび鉄道,4,C,38,駅データ.jp
1110106,1110106,新函館北斗,新函館北斗,北海道,北斗市,北斗市,北海道北斗市市渡,41.9054,140.646525,JR函館本線(函館～長万部),JR北海道,1,C,23,駅データ.jp
1110138,1110138,長万部,長万部,北海道,山越郡長万部町,山越郡長万部町,山越郡長万部町字長万部,42.512477,140.37507,JR函館本線(函館～長万部)|JR函館本線(長万部～小樽)|JR室蘭本線(長万部・室蘭～苫小牧),JR北海道,3,C,24,駅データ.jp
1110219,1110219,小樽,小樽,北海道,小樽市,小樽市,小樽市稲穂２丁目,43.197172,140.993653,JR函館本線(小樽～旭川)|JR函館本線(長万部～小樽),JR北海道,2,C,23,駅データ.jp
1110315,1110315,札幌,札幌,北海道,札幌市,札幌市北区,札幌市北区北６条西４丁目,43.067715,141.35058,JR函館本線(小樽～旭川)|JR千歳線|JR札沼線|札幌市営地下鉄南北線|札幌市営地下鉄東豊線,JR北海道|札幌市交通局,5,S,80,駅データ.jp
1110327,1110327,岩見沢,岩見沢,北海道,岩見沢市,岩見沢市,岩見沢市有明町南,43.204201,141.759359,JR函館本線(小樽～旭川)|JR室蘭本線(苫小牧～岩見沢),JR北海道,2,C,23,駅データ.jp
1110335,1110335,滝川,滝川,北海道,滝川市,滝川市,滝川市栄町４丁目,43.555278,141.900807,JR函館本線(小樽～旭川)|JR根室本線(滝川～富良野),JR北海道,2,C,23,駅データ.jp
1110342,1110342,旭川,旭川,北海道,旭川市,旭川市,旭川市宮下通８丁目,43.763492,142.357803,JR函館本線(小樽～旭川)|JR宗谷本線|JR富良野線|JR石北本線,JR北海道,4,C,38,駅データ.jp
1110434,1110434,苫小牧,苫小牧,北海道,苫小牧市,苫小牧市,苫小牧市表町６丁目,42.639665,141.596837,JR千歳線|JR室蘭本線(苫小牧～岩見沢)|JR室蘭本線(長万部・室蘭～苫小牧)|JR日高本線,JR北海道,4,C,38,駅データ.jp
1110610,1110610,富良野,富良野,北海道,富良野市,富良野市,富良野市日の出町,43.347114,142.391374,JR富良野線|JR根室本線(滝川～富良野),JR北海道,2,C,23,駅データ.jp
1110731,1110731,釧路,釧路,北海道,釧路市,釧路市,釧路市北大通１４丁目,42.990584,144.381983,JR根室本線(新得～釧路)|JR釧網本線|花咲線,JR北海道,3,C,32,駅データ.jp
1110802,1110802,東釧路,東釧路,北海道,釧路市,釧路市,釧路市貝塚２丁目,42.995207,144.411307,JR釧網本線|花咲線,JR北海道,2,C,23,駅データ.jp
1110905,1110905,新千歳空港,新千歳空港,北海道,千歳市,千歳市,千歳市美々,42.787546,141.680823,JR千歳線,JR北海道,1,C,23,駅データ.jp
1110906,1110906,南千歳,南千歳,北海道,千歳市,千歳市,千歳市字平和,42.80804,141.675388,JR千歳線|JR石勝線,JR北海道,2,C,33,駅データ.jp
1110907,1110907,千歳,千歳,北海道,千歳市,千歳市,千歳市千代田町７丁目,42.82811,141.651934,JR千歳線,JR北海道,1,C,23,駅データ.jp
1111502,1111502,旭川四条,旭川四条,北海道,旭川市,旭川市,旭川市四条通１８丁目,43.764056,142.375815,JR宗谷本線|JR石北本線,JR北海道,2,C,23,駅データ.jp
1111503,1111503,新旭川,新旭川,北海道,旭川市,旭川市,旭川市東八条６丁目,43.780174,142.384789,JR宗谷本線|JR石北本線,JR北海道,2,C,23,駅データ.jp
1111642,1111642,網走,網走,北海道,網走市,網走市,網走市新町２丁目,44.019873,144.254156,JR石北本線|JR釧網本線,JR北海道,2,C,23,駅データ.jp
1120120,1120120,青森,青森,青森県,青森市,青森市,青森市柳川１丁目,40.828668,140.734738,JR奥羽本線(新庄～青森)|JR津軽線|青い森鉄道線,JR東日本|青い森鉄道,3,B,47,駅データ.jp
1120201,1120201,新庄,新庄,山形県,新庄市,新庄市,新庄市多門町,38.76256,140.306064,JR奥羽本線(新庄～青森)|奥の細道最上川ライン|奥の細道湯けむりライン|山形線,JR東日本,4,C,38,駅データ.jp
1120217,1120217,横手,横手,秋田県,横手市,横手市,横手市駅前町,39.310146,140.5604,JR北上線|JR奥羽本線(新庄～青森),JR東日本,2,C,23,駅データ.jp
1120228,1120228,秋田,秋田,秋田県,秋田市,秋田市,秋田市中通７丁目,39.716748,140.129931,JR奥羽本線(新庄～青森)|JR羽越本線,JR東日本,2,C,38,駅データ.jp
1120240,1120240,東能代,東能代,秋田県,能代市,能代市,能代市鰄渕,40.191579,140.065746,JR五能線|JR奥羽本線(新庄～青森),JR東日本,2,C,23,駅データ.jp
1120249,1120249,大館,大館,秋田県,大館市,大館市,大館市御成町１丁目,40.288122,140.555946,JR奥羽本線(新庄～青森)|十和田八幡平四季彩ライン,JR東日本,2,C,23,駅データ.jp
1120257,1120257,弘前,弘前,青森県,弘前市,弘前市,弘前市表町,40.599356,140.485362,JR奥羽本線(新庄～青森)|弘南鉄道弘南線,JR東日本|弘南鉄道,2,C,23,駅データ.jp
1120265,1120265,新青森,新青森,青森県,青森市,青森市,青森県青森市大字石江字高間140-2,40.8275,140.693472,JR奥羽本線(新庄～青森),JR東日本,1,C,23,駅データ.jp
1120437,1120437,五所川原,五所川原,青森県,五所川原市,五所川原市,五所川原市字大町,40.809404,140.448125,JR五能線|津軽鉄道線,JR東日本|津軽鉄道,2,C,23,駅データ.jp
1120601,1120601,八戸,八戸,青森県,八戸市,八戸市,八戸市尻内町,40.5092,141.431499,JR八戸線|青い森鉄道線,JR東日本|青い森鉄道,2,C,33,駅データ.jp
1120625,1120625,久慈,久慈,岩手県,久慈市,久慈市,久慈市中央３,40.190391,141.770891,JR八戸線|三陸鉄道リアス線,JR東日本|三陸鉄道,2,C,23,駅データ.jp
1120903,1120903,新花巻,新花巻,岩手県,花巻市,花巻市,花巻市矢沢第１０地割,39.405839,141.17302,銀河ドリームライン釜石線,JR東日本,1,C,23,駅データ.jp
1120924,1120924,釜石,釜石,岩手県,釜石市,釜石市,釜石市鈴子町,39.273321,141.87267,三陸鉄道リアス線|銀河ドリームライン釜石線,JR東日本|三陸鉄道,2,C,23,駅データ.jp
