room_id,min_fee,max_fee,avg_fee,fee_count
"1","700","1200","989","9"
"3","1000","1000","1000","3"
"4","3500","3500","3500","1"
"5","1000","1500","1267","3"
"6","1000","1500","1160","5"
"7","1500","6000","2825","4"
"8","1200","1200","1200","2"
"9","1154","7500","3509","20"
"10","1540","10000","5526","28"
"11","1170","12000","4507","24"
"12","660","4950","2201","18"
"13","660","4950","2201","18"
"14","660","4950","2201","18"
"15","340","1800","1076","18"
"16","3500","3500","3500","1"
"17","4800","80000","22863","8"
"18","1650","1800","1725","2"
"19","1600","12000","5450","18"
"20","540","5250","2466","20"
"21","386","2400","1376","18"
"22","1540","10500","6094","18"
"23","540","3000","1651","16"
"24","880","3900","2442","16"
"25","440","1800","1169","16"
"28","440","1800","1095","18"
"29","600","3000","1912","16"
"30","600","2700","1632","16"
"31","560","2550","1586","16"
"32","520","2100","1291","16"
"33","480","2100","1197","16"
"34","500","1800","1220","16"
"35","500","1800","1220","16"
"36","560","2250","1569","16"
"37","520","2100","1453","16"
"38","500","1800","1150","16"
"39","320","1500","891","16"
"40","700","3900","2464","16"
"41","600","2400","1422","16"
"42","520","2400","1400","16"
"43","440","1500","994","16"
"44","4400","6600","5775","4"
"45","600","1600","1110","10"
"46","1100","1300","1200","2"
"47","600","1500","1050","4"
"48","700","1800","1250","8"
"49","400","1000","700","4"
"50","1200","1400","1300","2"
"51","700","1700","1200","4"
"52","1600","1800","1700","2"
"53","1500","1600","1550","2"
"54","1200","2000","1600","4"
"55","1300","2100","1700","4"
"56","2200","5000","3600","4"
"57","3300","4400","3850","2"
"58","3300","4400","3850","2"
"59","2750","3850","3300","2"
"60","4950","7700","6325","4"
"61","6600","7700","7150","2"
"62","4180","5280","4730","2"
"63","5500","6600","6050","2"
"64","4400","5500","4950","2"
"65","2750","3850","3300","2"
"66","3300","4400","3850","2"
"67","2750","3850","3300","2"
"68","1650","2750","2200","2"
"69","3300","4400","3850","2"
"70","1100","5000","2925","8"
"71","1200","2700","1671","7"
"72","2000","7000","4900","6"
"73","1200","2000","1600","2"
"74","1200","1200","1200","1"
"75","100","2000","1033","3"
"76","2800","10000","5857","7"
"77","1200","2900","1957","7"
"78","7500","49000","24135","23"
"79","1900","1900","1900","1"
"81","800","4200","2771","16"
"82","2000","10500","6664","16"
"83","2000","10500","6664","16"
"84","1725","3220","2487","8"
"85","1150","2530","1851","7"
"86","920","2197","1887","13"
"87","700","4500","1740","5"
"88","836","1207","1071","6"
"89","920","2070","1608","7"
"90","2000","9600","4765","20"
"91","1850","2150","2000","2"
"92","1800","1800","1800","1"
"93","2000","2000","2000","1"
"94","1600","1600","1600","1"
"95","1600","1600","1600","1"
"96","1800","1800","1800","1"
"97","1800","1800","1800","1"
"98","1800","1800","1800","1"
"99","1800","1800","1800","1"
"100","4400","4950","4675","4"
"101","3600","4400","4000","2"
"102","2600","3520","3060","2"
"103","2100","2750","2425","2"
"104","1760","2090","1925","4"
"105","858","1210","1034","4"
"106","858","1210","1034","4"
"107","3850","4400","4125","2"
"108","8800","9900","9350","2"
"111","880","1280","1073","4"
"112","2600","2600","2600","1"
"113","2860","2860","2860","1"
"116","6000","14000","10353","17"
