room_id,room_name,room_studio_id,room_square_meters,room_bamiri,room_shoot_flg,room_floor_color,room_wall_color,room_floor_quality,room_mirror,room_smartphone_holder_flg,room_free_smartphone_tripod_flg,room_free_camera_tripod_flg,room_created_at,room_updated_at,room_uuid,room_ceiling,room_free_lighting_flg,room_paid_lighting_flg,room_free_wifi_flg,room_speaker_bluetooth_flg,room_speaker_wired_flg,room_bamiri_flg,room_air_conditioner_flg,room_power_outlet_flg,room_dressing_room_flg,room_toilet_flg,room_ballet_bar_flg,room_vending_machine_flg,room_chair_flg,room_slipper_flg,room_extension_cord_flg,room_yoga_mat_flg,room_window_flg,room_tv_flg,room_projection_monitor_flg,room_clothes_rack_flg,room_main_images,room_floor_plan_images,room_sub_images,room_published_at,room_subject_reserve,room_message_reserve,room_introduction,room_google_calendar_id,room_image_360_degree_url,room_reservation_deadline_time,room_reservable_period_month,room_cleaning_time,room_paid_smartphone_tripod_flg,room_paid_camera_tripod_flg,studio_id,studio_name,studio_address,studio_message_reserve,studio_created_at,studio_updated_at,studio_owner_id,studio_uuid,studio_reserve_type,studio_url,studio_phone_number,studio_published_at,studio_subject_reserve,studio_catchphrase,studio_available_on_site,studio_mon_start_time,studio_mon_end_time,studio_mon_hol_flg,studio_tue_start_time,studio_tue_end_time,studio_tue_hol_flg,studio_wed_start_time,studio_wed_end_time,studio_wed_hol_flg,studio_thu_start_time,studio_thu_end_time,studio_thu_hol_flg,studio_fri_start_time,studio_fri_end_time,studio_fri_hol_flg,studio_sat_start_time,studio_sat_end_time,studio_sat_hol_flg,studio_sun_start_time,studio_sun_end_time,studio_sun_hol_flg,studio_partner_flg,studio_csv_id,dslurl
"1","ルーム１０１","1","35","2","t","0","0","2","2","t","t","t","2024-12-12 22:55:43.531924","2026-04-11 00:59:25.802815","98eb848f-ae3c-435e-9400-64a28ca38b97",,"f","t","t","t","f","t","f","t","t","t","f","t","t","t","t","f","f","f","f","f","[""dd0283976c2cbd01cd8be30f19d562a9(2).jpeg""]","[""b8ebd17a70cfa242d42f5b36a2a31e7c(2).jpeg""]","[""2fd7264106229e2a11858ec1f081f429(2).jpeg"",""dd0283976c2cbd01cd8be30f19d562a9(2).jpeg"",""3de8f7bc2618eac6ea95763f26df8cc5.JPG""]","2025-09-26 23:06:59.754517","予約のお知らせ","ご予約ありがとうございます。

","鏡面は鏡面は２面！快適な環境！","296","https://view.ricoh360.com/edb6c37f-119b-48de-ae37-d9777d270c89?type=compact","10","6","0",,,"1","【TEST】ダンススタジオラボ","東京都新宿区ダミー","テスト","2024-12-12 22:41:18.401158","2025-12-25 09:38:46.720583","7","9efe78ce-29e2-4db7-9275-8e2f5a2ecbb6","1",,"03-3333-3333",,"ご予約ありがとうございます","広くて綺麗なスタジオです","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","t",,"https://dance-studio-lab.com/room/OThlYjg0OGYtYWUzYy00MzVlLTk0MDAtNjRhMjhjYTM4Yjk3/detail"
"4","ルーム１０２","1","90","5.5","t","2","1","1","3","t","f","t","2024-12-14 14:18:16.886722","2026-04-11 01:01:36.664478","9fed505e-e23b-4f1a-8397-0126b362f368","0","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","t","f","[""2fd7264106229e2a11858ec1f081f429(2).jpeg""]","[""64f0d8215a27fa771fb08dc8f3c368e4(2).jpeg""]","[""dd0283976c2cbd01cd8be30f19d562a9(2).jpeg"",""2fd7264106229e2a11858ec1f081f429(2).jpeg""]","2025-08-31 09:38:23.636253","予約の件","ありがとうございます。","鏡面は鏡面は２面！快適な環境！","297","https://view.ricoh360.com/edb6c37f-119b-48de-ae37-d9777d270c89?type=compact","240","6","0",,,"1","【TEST】ダンススタジオラボ","東京都新宿区ダミー","テスト","2024-12-12 22:41:18.401158","2025-12-25 09:38:46.720583","7","9efe78ce-29e2-4db7-9275-8e2f5a2ecbb6","1",,"03-3333-3333",,"ご予約ありがとうございます","広くて綺麗なスタジオです","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","t",,"https://dance-studio-lab.com/room/OWZlZDUwNWUtZTIzYi00ZjFhLTgzOTctMDEyNmIzNjJmMzY4/detail"
"8","503","1","70","3.5","t","0","0","1","3","f","f","f","2024-12-26 05:09:56.41618","2026-04-10 08:56:57.715578","04eb774a-87b1-4054-a9ed-00e114da875f","1","t","t","f","f","f","t","t","f","t","f","f","f","f","f","f","f","f","f","f","f","[""9659a1bf1e844c18efab23d81d773b6e.png""]",,,"2025-08-31 09:43:28.163254","あああ","あああ","十分な広さ。",,"","10","6","0",,,"1","【TEST】ダンススタジオラボ","東京都新宿区ダミー","テスト","2024-12-12 22:41:18.401158","2025-12-25 09:38:46.720583","7","9efe78ce-29e2-4db7-9275-8e2f5a2ecbb6","1",,"03-3333-3333",,"ご予約ありがとうございます","広くて綺麗なスタジオです","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","t",,"https://dance-studio-lab.com/room/MDRlYjc3NGEtODdiMS00MDU0LWE5ZWQtMDBlMTE0ZGE4NzVm/detail"
"16","709","1","45","3","t","0","0","0","3","t","t","t","2025-01-02 21:29:54.53759","2026-04-10 08:56:59.593076","b0a7c396-668c-41bb-94cf-590fa06c1a59","0","t","t","f","f","t","f","t","t","t","t","t","t","f","f","f","f","f","f","f","f","[""4e76cdd6378ae3755e3b18fef8983491.png""]",,,"2025-08-31 09:46:06.265486",,,"テストの部屋です",,"","5","6","0",,,"1","【TEST】ダンススタジオラボ","東京都新宿区ダミー","テスト","2024-12-12 22:41:18.401158","2025-12-25 09:38:46.720583","7","9efe78ce-29e2-4db7-9275-8e2f5a2ecbb6","1",,"03-3333-3333",,"ご予約ありがとうございます","広くて綺麗なスタジオです","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","t",,"https://dance-studio-lab.com/room/YjBhN2MzOTYtNjY4Yy00MWJiLTk0Y2YtNTkwZmEwNmMxYTU5/detail"
"74","1013","1","90","5","t","1","1","1","1","t","t","t","2025-08-26 12:57:39.591758","2025-12-19 22:09:01.891694","47669067-9c42-45f0-9674-19f7d05d0609","1","t","t","t","f","f","f","f","t","t","t","t","f","f","f","f","f","f","f","f","f","[""8a06c1337d19ab3ff830aa38ab394e8c.png""]",,,,"予約の件","a
","照明の無料レンタル実施中",,"","60","6","0",,,"1","【TEST】ダンススタジオラボ","東京都新宿区ダミー","テスト","2024-12-12 22:41:18.401158","2025-12-25 09:38:46.720583","7","9efe78ce-29e2-4db7-9275-8e2f5a2ecbb6","1",,"03-3333-3333",,"ご予約ありがとうございます","広くて綺麗なスタジオです","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","t",,"https://dance-studio-lab.com/room/NDc2NjkwNjctOWM0Mi00NWYwLTk2NzQtMTlmN2QwNWQwNjA5/detail"
"112","あ","1",,,"f",,,,,"f","f","f","2026-04-15 19:12:11.433314","2026-04-15 19:13:24.64371","78ed2c42-a754-46f7-973a-d8b73cc22d6d",,"f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","[""1279729ef0aaabec8b7ece262b0134df(2).png""]",,"[""c23a770ac96932c7f88a13b1f5fbc92d(2).png"",""116248b8a0c70e7867451fe0e0f744ff(2).png"",""19b869870e4e9f73c187ad2f3acb4a38(2).png""]",,,,"",,"","0","6","0","f","f","1","【TEST】ダンススタジオラボ","東京都新宿区ダミー","テスト","2024-12-12 22:41:18.401158","2025-12-25 09:38:46.720583","7","9efe78ce-29e2-4db7-9275-8e2f5a2ecbb6","1",,"03-3333-3333",,"ご予約ありがとうございます","広くて綺麗なスタジオです","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","00:00:00","00:00:00","f","t",,"https://dance-studio-lab.com/room/NzhlZDJjNDItYTc1NC00NmY3LTk3M2EtZDhiNzNjYzIyZDZk/detail"
"3","test room 1","4",,,"f",,,,,"f","f","f","2024-12-13 09:16:48.112225","2026-04-15 16:16:49.429052","35a84119-99a0-456d-ad69-bd7c3abfea3d",,"f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f",,,,,,,"",,"","0","6","0","f","f","4","test studio 1","","","2024-12-13 09:15:51.25405","2026-01-14 14:13:45.300975","10","6abe28f8-aa13-41fc-a1ac-241f7b17cec3","0",,"",,"","","f",,,"t",,,"t",,,"t",,,"t",,,"t",,,"t",,,"t","t",,"https://dance-studio-lab.com/room/MzVhODQxMTktOTlhMC00NTZkLWFkNjktYmQ3YzNhYmZlYTNk/detail"
"5","江戸川橋スタジオ","5","45",,"f","2","0","0","1","f","f","f","2024-12-23 21:17:01.135899","2026-03-02 16:32:21.235009","5c74e860-5591-4752-89e4-ec74f0e9b8fc",,"f","f","f","t","t","f","t","f","f","t","f","f","t","f","f","t","f","f","f","f","[""fd7f46aae45a72f95d26d3f022c7ffc9(2).jpeg""]","[""1ba63d5dd76897ee9e7a5138ab4f6ab5(2).jpeg""]","[""560b913b0ed37a9d72b7dc703b3d5607(2).jpeg"",""e3a298d3f06884eca8a090f1bbabe636(2).jpeg"",""2d2b09b27d051cc886a20705eec93b90(2).jpeg"",""fd7f46aae45a72f95d26d3f022c7ffc9(2).jpeg"",""4f4da68a444d43fe95e93db4f569da93(2).jpeg"",""14e9cafbceaff938ec9d86e9277db15a(2).jpeg"",""123b55c7e067aa1fa364e48fe6b73af2(2).jpeg"",""60a403cde8eac2e16e4db760f868f99c(2).jpeg"",""4c989042e9d5ec35bc012dc57d52e0d7(2).jpeg"",""96c7c961e93e7d08084de906d24617ff(2).jpeg"",""7d1ccc554c219e5fd7ff00e3374cca89(2).jpeg""]","2026-03-02 16:32:21.082367",,,"多目的にお使いいただけます。駅近！格安！きれい！をモットーにしています。","256","https://view.ricoh360.com/9bf1d9fa-861d-4bf0-95c0-8f42a6dc8dfc","15","3","0","f","f","5","スタジオピアーチェ江戸川橋店","東京都文京区水道2-10-7エクセルビル地下一階","ご予約いただきましてどうもありがとうございます。
ご利用の際にはお客様同士のトラブルになりますので時間厳守でお願い致します。

【江戸川橋店入室方法】
当日は入り口がオートロックとなっております。
黒いカバーを開けると番号キーがありますので
鍵の番号「※0113※」を押して開けてください。※も押してください。

【退室方法】
退出時、鍵の締め方はドアを閉めて鍵マークを押すと閉まります。
お帰りの際は消灯、施錠、清掃を必ずお願いいたします。
退出後、階段上の入り口の道路付近で溜まらずに速やかにお帰りください。

【注意事項】
１．窓開放厳禁
窓は開けないでください。音が漏れて苦情につながる場合がございます。
１－２．音量計測器ご利用のお願い
音を出す際には必ず計測器をお使いいただき、事前に音量の最大値をご確認ください。計測器で85を超えない数値の音量でご利用ください。
２．室内土足禁止
入り口で靴を脱いでいただき、室内にある緑のシートの上または靴棚に置いてください。
３．喫煙
室内、出口付近での喫煙は厳禁です。
４．鏡
鏡は割れやすいのでもたれたり触ったりしないようお願い致します。

ルールを守り時間内はご自由にお使い下さい。
不明な点はご連絡下さい。
よろしくお願い致します。","2024-12-21 22:37:05.477292","2026-03-02 16:31:55.270517","43","8c97bb41-86b7-4f4d-b3e2-59fbb7fd3e51","1",,"050-3635-2093","2026-03-02 16:31:55.253329","【ご予約完了】江戸川橋店ご利用方法についてのご案内","激安！！駅近！24時間利用可能なレンタルダンススタジオ","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","t",,"https://dance-studio-lab.com/room/NWM3NGU4NjAtNTU5MS00NzUyLTg5ZTQtZWM3NGYwZTliOGZj/detail"
"6","春日後楽園スタジオ","6","56",,"f","2","0","0","1","f","f","f","2024-12-23 21:22:18.030336","2026-03-02 16:33:15.948164","0de31f8a-8496-4b9d-9b79-5dfbb47903d4",,"f","f","t","t","t","f","t","t","f","t","t","f","t","t","f","t","f","f","f","f","[""777eb5ca83689ab8599757ac22bd2eb9.jpg""]","[""2298705f7f6fc48106901c960f4650bd.png""]","[""d4998201fa9ab4c0a0780bcde20d21b4.jpg"",""777eb5ca83689ab8599757ac22bd2eb9.jpg"",""579768e000932b91f1d73b5728a9f99b.jpg"",""cef51f1c5ca4d3e87526c41bcd6aa04a.jpg"",""8de85892ebf495375e352d6785334adb.jpg""]","2026-03-02 16:33:15.874516",,,"文京区の後楽園駅から徒歩8分という好立地！春日駅からも歩けます。当日利用可能！","254","https://view.ricoh360.com/ba941301-2c8d-4457-833c-d213af3d9d99","15","3","0","f","f","6","スタジオピアーチェ春日後楽園店","東京都文京区春日2丁目23番11号　コア伝通院アネックス地下一階","ご予約は完了致しましたので以降のキャンセルはできません。

【ご利用時の注意】
入り口横の『駐輪場』に立ち入ることは絶対にやめてください。
溜まったり、喫煙することは厳禁です。発見された場合には警察に通報される場合があります。
絶対にしないようにご利用者の方全員に周知をお願いします。

後楽園店1階の入り口の扉は必ず開けっぱなしにせず閉めてください。

【後楽園店入室方法】
1階の入り口はそのままお入りください。
美容室側ではなく美容室の裏手にあるガラスの扉が入り口になります。
階段を下がると突き当たりに扉があります。

ドアノブにキーボックスがございますので鍵の番号を「6237」に合わせて番号の左側の黒いツマミを下に押すと蓋が開きます。中に鍵が入っていますのでそちらの鍵で開けてご利用ください。

必ず鍵は部屋の中には持ち込まずキーボックスに戻して靴を脱いで中にお入りください。

【退室方法】
退出時、床をモップがけしていただき、ご退出ください。扉の鍵を閉めたらキーボックスに鍵を入れ、蓋を閉め、番号キーを「0000」に合わせてください。

お帰りの際は消灯、施錠、清掃を必ずお願いいたします。
退出後、階段上の入り口の道路付近で溜まらずに速やかにお帰りください。

【注意事項】
１．窓開放厳禁
窓は開けた状態で音は出さないでください。音が漏れて苦情につながる場合がございます。換気のために開ける際も音は出さないでください。音を出す際は窓を閉めてください。

２．室内土足禁止
入り口で靴を脱いでいただき、室内にある靴棚に置いてください。

３．扉は閉めてご利用ください
入り口の扉は閉めてご利用ください。1階の扉は鍵は閉めずに扉のみ必ず閉めてください。

４．喫煙
室内、出口付近での喫煙は厳禁です。

５．鏡
鏡は割れやすいのでもたれたり触ったりしないようお願い致します。

６.自転車など
当スタジオには自転車やバイクなどの駐車スペースはありませんのでお越しになる際はご利用されないようにお願いいたします。

７.1階の入り口横の駐輪場内での喫煙、立ち話、待機はNGです。絶対にしないようにご利用者の方全員に周知をお願いします。

ご利用の開始時間前には入らないでください。
終了時間前には必ず完全退出して下さい。
お客様同士のトラブルになりますので時間厳守でお願い致します。

ルールを守り時間内はご自由にお使い下さい。

不明な点はご連絡下さい。
お問い合わせはこちらまで。
studio.piace.555@gmail.com

よろしくお願い致します。","2024-12-21 22:42:05.548869","2026-03-02 16:32:41.713917","43","44b444e2-ee07-452f-a387-59342ab1e0de","1",,"050-3635-2093","2026-03-02 16:32:41.70331","【ご予約完了】春日後楽園店ご利用方法についてのご案内","安くて綺麗なレンタルダンススタジオ","f","08:00:00","23:59:00","f","08:00:00","23:59:00","f","08:00:00","23:59:00","f","08:00:00","23:59:00","f","08:00:00","23:59:00","f","08:00:00","23:59:00","f","08:00:00","23:59:00","f","t",,"https://dance-studio-lab.com/room/MGRlMzFmOGEtODQ5Ni00YjlkLTliNzktNWRmYmI0NzkwM2Q0/detail"
"7","池袋スタジオ","7","100",,"f","2","0","0","1","f","f","f","2024-12-23 21:25:06.850877","2026-04-27 23:39:37.796442","b08aa2d5-bafe-4447-bc9f-35609f07512b",,"f","f","t","t","t","f","t","t","t","t","t","t","t","t","f","f","f","f","f","f","[""84da3681c55efea8277d346e8d6c16c1(2).JPG""]","[""9567b8a18cfb70815f5bf73603bcf41e(2).jpg""]","[""84da3681c55efea8277d346e8d6c16c1(2).JPG"",""8b3083145d489b389fe363d685a86acc(2).JPG"",""30bfc03ee0a66b94b9f580efd7089f02(2).JPG"",""92dc63962309b3614aa8439eaff9f218(2).JPG""]","2026-04-27 23:39:37.714046",,,"広いスタジオなので格闘技の練習や大学のダンスサークルの練習などでも多く利用されています。","258","https://view.ricoh360.com/e12c65a5-a459-4ddc-9ddc-393e62f27a68","10","3","0","f","f","7","スタジオピアーチェ池袋店","東京都豊島区池袋本町1-7-1　池袋本町ビル地下１階","ご予約いただきまして誠にありがとうございます。

池袋店は地下一階です。入り口がわかりにくいのですが、一階の店舗さんへ直接入って場所を確認することは絶対にしないでください。

入り口は公園とビルの間の道沿いです。大通り沿いにはありません。

ビルの一階入り口付近には絶対に待機しないでください。
利用前後ともに待機は厳禁です。待機する場合は近くの公園にてお願いいたします。待機されているのが発見された場合、警察に通報されます。
メンバーの方々に周知をお願いいたします。
通報された場合はご利用者様の責任となりますのでご注意ください。

【池袋店入室方法】
階段をおりますと左にお部屋の入り口があります。鍵の開け方は「C」を押してから鍵の番号「59673」を押して番号下にある丸いノブを左に回して、開けてください。上の鍵は無視して下のダイヤルロックのみ解除してください。

【退室方法】
退出時、掃除をしていただき、電気・空調を消してください。鍵の締め方はドアを閉めて番号下にある丸いノブを右に回すと閉まります。上のノブの鍵は無視してください。

ごみは必ずお持ち帰りください。

退出後、階段上の入り口の道路付近で溜まらずに速やかにお帰りください。


【注意事項】
1.駐車場出入り口周辺及び建物入り口周辺の自転車・バイクの駐車は絶対にやめてください。待機も厳禁です。
自転車やバイクなどではこないようにお願いします。駐車場契約者から警察に通報されてしまうため、必ず厳守してください。

2.室内、ビル１階及びビル付近では禁煙です。
必ず近くの公園などでお願い致します。吸殻はお持ち帰りください。

3.室内土足禁止
入り口で靴を脱いでいただき、室内にある靴棚においてください。

4.鏡
鏡は割れやすいのでもたれたり、触ったりしないようにお願い致します。

ルールを守り、時間内はご自由にお使いください。
不明点はご連絡ください。
何卒よろしくお願い致します。","2024-12-21 22:44:22.496189","2026-03-02 16:33:51.689112","43","02ba94cf-bd3a-4eba-bff5-96ee6af17964","1",,"050-3635-2093","2026-03-02 16:33:51.678885","【ご予約完了】池袋店ご利用方法についてのご案内","池袋から徒歩10分！約100平米の広いスタジオ！24時間利用可能！","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","00:00:00","23:59:00","f","t",,"https://dance-studio-lab.com/room/YjA4YWEyZDUtYmFmZS00NDQ3LWJjOWYtMzU2MDlmMDc1MTJi/detail"
