article_title,article_type,article_priority,candidate_count,partner_count,non_partner_count,sample_studios,status
上野のレンタルダンススタジオおすすめ,エリア,S,35,2,33,【レンタルスタジオ】SPICY CANDY【ボディメイク】|FunnyTips（ファニーティップス）|中村隆彦ダンススタジオ浅草千束,OK
下北沢のレンタルダンススタジオおすすめ,エリア,S,62,0,62,ABC明大前スタ|BRONX RENTAL STUDIO|ダンススタジオ・レンタルスタジオ_DANCE SPACE 365,OK
中目黒のレンタルダンススタジオおすすめ,エリア,S,45,9,36,?JDS 自由が丘のレンタルスタジオ|Aya Ballet School|CARDIO BARRE JIYUGAOKA (カーディオ・バー 自由が丘店),OK
中野のレンタルダンススタジオおすすめ,エリア,S,40,2,38,A.R.P studio|Asia Ballet Agency|ソニズレンタルスタジオ東高円寺店,OK
六本木のレンタルダンススタジオおすすめ,エリア,S,67,4,63,ACFit 赤坂見附スタジオ|Ballet Studio M'z|ナ・ホク・オ・カヘアラニ フラ＆タヒチアン,OK
品川のレンタルダンススタジオおすすめ,エリア,S,27,0,27,㈱フラオリタヒチ|Hidemi Dancing Vida|Manohiva Japan,OK
新宿のレンタルダンススタジオおすすめ,エリア,S,110,11,99,スタジオハイシー|レンタルスタジオswamp西新宿|ソニズレンタルスタジオ新宿店,OK
池袋のレンタルダンススタジオおすすめ,エリア,S,52,8,44,BUZZ レンタルスタジオ 池袋本店|C Production Dance Studio|BUZZ 池袋西口タワー,OK
渋谷のレンタルダンススタジオおすすめ,エリア,S,88,17,71,BUZZ レンタルスタジオ 代々木店|A la neigeバレエ|すむぞう 代々木スタジオ,OK
秋葉原のレンタルダンススタジオおすすめ,エリア,S,60,3,57,㈱Tera-coya|【レンタルスタジオ】SPICY CANDY【ボディメイク】|ACEスタジオ馬喰町日本橋,OK
銀座のレンタルダンススタジオおすすめ,エリア,S,42,2,40,ACEスタジオ馬喰町日本橋|Another ONE+ （銀座レンタルスペース）|BillionDance,OK
高円寺のレンタルダンススタジオおすすめ,エリア,S,40,1,39,ソニズレンタルスタジオ東高円寺店|バレエ・ダンススタジオ Lino|レンタルスタジオ西荻リノ,OK
八王子のレンタルダンススタジオおすすめ,エリア,A,22,0,22,ＤＡＮＣＥＳＴＵＤＩＯ・ＢＩＮＧＯ|FANTASY DANCE SCHOOL 八王子店|M Ballet Studio,OK
北千住のレンタルダンススタジオおすすめ,エリア,A,17,1,16,AAPA 日の出町団地スタジオ|Brilliant Me Dance Studio 鹿浜校|Dance Studio Broomstick,OK
吉祥寺のレンタルダンススタジオおすすめ,エリア,A,29,0,29,[吉祥寺ダンススタジオ] Studio Amrita NORTH|emotionS Dance Studio|TONIC DANCE STUDIO 吉祥寺,OK
後楽園のレンタルダンススタジオおすすめ,エリア,A,20,2,18,alt studio (オルトスタジオ)|KBAバレエスタジオ御茶ノ水|ソニズダンススタジオ茗荷谷店,OK
成増のレンタルダンススタジオおすすめ,エリア,A,17,0,17,Be Rise Dance Studio|dance studio GROOVY ダンス＆ヨガ|ＧＯＣＯＯスタジオ,OK
町田のレンタルダンススタジオおすすめ,エリア,A,14,0,14,Caribbean explosion|Funky Gang Dance Studio|YOKOTA BASE STUDIO,少ない
練馬のレンタルダンススタジオおすすめ,エリア,A,23,0,23,mikaバレエスタジオ|ＭＩＫＩバレエスタジオ|MIZUE Ballet School,OK
