article_title,article_type,article_priority,studio_title,address,dslurl,is_partner,primary_area,candidate_areas,primary_station,candidate_stations,distance_to_primary_station_m,article_station,distance_to_article_station_m,article_match_method,article_match_reason,rental_fit_score,rental_fit_reason,suspicious_location,fallback_allowed
上野のレンタルダンススタジオおすすめ,エリア,S,【レンタルスタジオ】SPICY CANDY【ボディメイク】,〒111-0053 東京都台東区浅草橋４丁目２-８ 伊藤ビル １F,,0,上野,上野|浅草|御徒町|蔵前,秋葉原駅,秋葉原駅|蔵前駅,730.0,,,,primary_area=上野,50,+20(rental=1)|+30(レンタルスタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,FunnyTips（ファニーティップス）,〒101-0021 東京都千代田区外神田５丁目５-７ パンセ秋葉原 B1F,,0,秋葉原,秋葉原,秋葉原駅,秋葉原駅|上野駅,633.0,,,,tag/station:上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,中村隆彦ダンススタジオ浅草千束,〒111-0031 東京都台東区５ 台東区 千束 4 5 4 提柳泉ビルB1F,,0,上野,上野|浅草|御徒町|蔵前,三ノ輪駅,三ノ輪駅|南千住駅|入谷駅|荒川一中前駅|浅草駅|荒川区役所前駅|田原町駅|鶯谷駅|本所吾妻橋駅|曳舟駅,862.0,,,,primary_area=上野,45,+20(rental=1)|+25(ダンススタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,ミライスタジオ上野,〒110-0003 東京都台東区根岸１丁目５-１３,,0,上野,上野|浅草|御徒町|蔵前,日暮里駅,日暮里駅|上野駅,943.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,K'sLinkStudio御徒町,〒110-0005 東京都台東区上野３丁目１９-４ フロンティアサカイビル 1F,,0,上野,上野|浅草|御徒町|蔵前,秋葉原駅,秋葉原駅|上野駅,803.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,ＫＴスタジオ,〒110-0012 東京都台東区竜泉３丁目６-４ あらきビル,,0,上野,上野|浅草|御徒町|蔵前,三ノ輪駅,三ノ輪駅|入谷駅|荒川一中前駅|南千住駅|荒川区役所前駅|鶯谷駅|田原町駅|荒川二丁目駅|浅草駅|三河島駅,551.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,BUZZ レンタルスタジオ 上野店,〒110-0003 東京都台東区根岸３丁目６-３ 小林ビル 地下1階,,0,上野,上野|浅草|御徒町|蔵前,上野駅,上野駅|日暮里駅,975.0,,,,primary_area=上野,50,+20(rental=1)|+30(レンタルスタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,㈱インフォレント,〒111-0053 東京都台東区浅草橋５丁目３-２ 秋葉原スクエアビル,,0,上野,上野|浅草|御徒町|蔵前,秋葉原駅,秋葉原駅|蔵前駅,610.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,OnePlace Dance Studio,〒111-0053 東京都台東区浅草橋３丁目１９-２ 地下1階 冨士ビル,,0,上野,上野|浅草|御徒町|蔵前,蔵前駅,蔵前駅,600.0,,,,primary_area=上野,45,+20(rental=1)|+25(ダンススタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオ五軒町,〒101-0021 東京都千代田区外神田６丁目１６-１ 外神田フジハイツ 地下1階,,0,秋葉原,秋葉原,秋葉原駅,秋葉原駅|上野駅,714.0,,,,tag/station:上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,あおちゃんダンスコミュニケーション サルサダンス ブラジルダンス 認知症予防ダンス,〒110-0003 東京都台東区根岸２丁目１２-１１,,0,上野,上野|浅草|御徒町|蔵前,日暮里駅,日暮里駅,726.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,レンタルスタジオ三ノ輪,〒110-0011 東京都台東区三ノ輪１丁目１０-９ GATTINO 1F,,0,上野,上野|浅草|御徒町|蔵前,三ノ輪駅,三ノ輪駅|荒川一中前駅|荒川区役所前駅|南千住駅|入谷駅|荒川二丁目駅|鶯谷駅|三河島駅|浅草駅|千住大橋駅,219.0,,,,primary_area=上野,70,+20(rental=1)|+30(レンタルスタジオ)|+20(web),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,レンタルスタジオODORU,〒110-0015 東京都台東区東上野３丁目１８-１ B1,,0,上野,上野|浅草|御徒町|蔵前,上野駅,上野駅,319.0,,,,primary_area=上野,50,+20(rental=1)|+30(レンタルスタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,ムーンプレイス レンタルスタジオ蔵前,〒111-0043 東京都台東区駒形２丁目１-５ ３階,,0,上野,上野|浅草|御徒町|蔵前,蔵前駅,蔵前駅|浅草駅,224.0,,,,primary_area=上野,50,+20(rental=1)|+30(レンタルスタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオブライト｜レンタル撮影スタジオ（完全予約制）,〒111-0051 東京都台東区蔵前４丁目３６-１３ タイルビル 4F,,0,上野,上野|浅草|御徒町|蔵前,蔵前駅,蔵前駅|浅草駅,381.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオHIKARI 上野,〒110-0003 東京都台東区根岸１丁目１-１５ ルンビニフードカフェ鶯谷店 4階,,0,上野,上野|浅草|御徒町|蔵前,上野駅,上野駅|日暮里駅,822.0,,,,primary_area=上野,20,+20(rental=1),0,1
