article_title,rank,group_name,studio_title,is_partner,dslurl,google_rating,google_review_count,rental_fit_score,selection_score,selection_reason
新宿駅のレンタルダンススタジオおすすめ,1,BUZZ レンタルスタジオ,BUZZ レンタルスタジオ 新宿ハウス店,1,https://dance-studio-lab.com/room/MWYzNmNhZGMtMWZiNi00MjBiLWJjNzMtZmFmNjAxYmQ5MjA3/detail,5.0,1.0,10,175.05,提携スタジオ | rental_fit=10 | ★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,1,BUZZ レンタルスタジオ,BUZZ新宿,1,https://dance-studio-lab.com/room/NThmODMwMDctZjkyNi00ZTE3LTgwNjQtMDRmOGIwMmQ5ZTRi/detail,5.0,1.0,10,175.05,提携スタジオ | rental_fit=10 | ★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,1,BUZZ レンタルスタジオ,BUZZ レンタルスタジオ新宿4丁目店,1,,5.0,1.0,10,175.05,提携スタジオ | rental_fit=10 | ★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,1,BUZZ レンタルスタジオ,BUZZ レンタルスタジオ 代々木店,1,,5.0,1.0,10,175.05,提携スタジオ | rental_fit=10 | ★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,2,THビル貸し会議室 レンタルスタジオ,THビル貸し会議室 レンタルスタジオ,1,https://dance-studio-lab.com/room/ZGYxYjYyNDgtMDEzOC00MjZhLTgyZDctODZlMDViYTQ0NDgy/detail,3.6,5.0,10,169.65,提携スタジオ | rental_fit=10 | ★3.6(+14pt) | 口コミ5件(+0pt) | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,3,レンタルスタジオAivic,レンタルピラティススタジオAivic北参道,1,https://dance-studio-lab.com/room/MWZkYTk2NGMtMDU4OC00YjY5LWI5MjYtNjNhNmYyMWI4M2Q2/detail,,,10,155.0,提携スタジオ | rental_fit=10 | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,3,レンタルスタジオAivic,レンタルピラティススタジオAivic新宿,1,https://dance-studio-lab.com/room/MWY5Yzc5YzMtMmViOC00MmI0LWIwNzUtNDY1MDUzZjY4MzVm/detail,,,10,155.0,提携スタジオ | rental_fit=10 | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,3,レンタルスタジオAivic,レンタルスタジオAivic高田馬場,1,https://dance-studio-lab.com/room/M2JhMTAxM2EtZmMxNi00ODUwLTllNjUtNWQ4OTY3NmE2MWZj/detail,,,10,155.0,提携スタジオ | rental_fit=10 | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,3,レンタルスタジオAivic,レンタルピラティススタジオAivic西新宿,1,https://dance-studio-lab.com/room/ZGY5MzY2ZjgtMzk1Mi00YTY0LWE2OWEtZDc3Y2RiYjllMmJh/detail,,,10,155.0,提携スタジオ | rental_fit=10 | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,4,Hina STUDIO,Hina STUDIO(ヒナスタジオ)【新宿西口アネックス】,1,https://dance-studio-lab.com/room/NWQxZDIzMzUtNWMzOC00MzY4LWE4YmYtMWU3MDBkYWM3ZDY2/detail,,,9,153.0,提携スタジオ | rental_fit=9 | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,4,Hina STUDIO,Hina STUDIO(ヒナスタジオ)【新宿西口スタジオ】,1,https://dance-studio-lab.com/room/ZDEyOTIyNTctYjUwOC00ZTY3LTgxMWYtYTI0MzhkNDg4OGNj/detail,,,9,153.0,提携スタジオ | rental_fit=9 | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,5,Studio-Bio,Studio-Bio,1,https://dance-studio-lab.com/room/MTI3NDc3MzgtMTBhMy00NGY2LWE3MGQtZmM5YzdiYjVmNzM2/detail,,,9,153.0,提携スタジオ | rental_fit=9 | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,6,なかすた,なかすた,1,https://dance-studio-lab.com/room/ODE4NDI3NmEtODY2YS00ZTg2LTgyMzctNzMzNmYwYjNmNDgx/detail,,,8,151.0,提携スタジオ | rental_fit=8 | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,7,Dubwayレンタルスタジオ,Dubwayレンタルスタジオ大久保,1,https://dance-studio-lab.com/room/YTIzMjllOTEtNzlhMy00YjBiLTgwMDctMGNhMDNkOTgwNDFh/detail,,,10,148.0,提携スタジオ | rental_fit=10 | 駅近1000m以内
新宿駅のレンタルダンススタジオおすすめ,8,Ｍ＆Ｓダンススタジオ,Ｍ＆Ｓダンススタジオ,0,,5.0,1.0,8,71.05,rental_fit=8 | ★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,9,ソニズダンスタジオ,ソニズレンタルスタジオ新宿店,0,,4.7,3.0,8,69.95,rental_fit=8 | ★4.7(+19pt) | 口コミ3件(+0pt) | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,10,LANDstudio,レンタルダンススタジオ LANDstudio 新宿店,0,,5.0,3.0,7,69.15,rental_fit=7 | ★5.0(+20pt) | 口コミ3件(+0pt) | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,11,新宿 だんすた レンタルスタジオ,新宿 だんすた レンタルスタジオ,0,,4.4,12.0,7,67.2,rental_fit=7 | ★4.4(+18pt) | 口コミ12件(+1pt) | 駅近500m以内
新宿駅のレンタルダンススタジオおすすめ,12,Beat Box Dance Studio,Beat Box Dance Studio,0,,3.8,4.0,7,64.4,rental_fit=7 | ★3.8(+15pt) | 口コミ4件(+0pt) | 駅近500m以内
