article_title,article_type,article_priority,rank,studio_title,address,is_partner,dslurl,primary_station,distance_to_primary_station_m,place_id,google_name,rating,review_count,match_confidence,api_status,selection_score,selection_reason
上野のレンタルダンススタジオおすすめ,エリア,S,1,スタジオ五軒町／『鏡張り』の多目的に利用できる『防音』スタジオ,東京都千代田区外神田6-16-1,1,https://dance-studio-lab.com/room/ODZiZjA3NDItNjk4ZS00YjMxLWFjMGQtMGU5ZjVkZDg5OWQw/detail,湯島駅,308.0,ChIJqR_N5JuNGGARtspyhrGKB8M,スタジオ五軒町,4.9,18.0,0.368,OK,165.5,提携 | ★4.9(+20pt) | 口コミ18件(+1pt) | 駅近500m以内 | 複数記事候補×7 | tag/station:上野
上野のレンタルダンススタジオおすすめ,エリア,S,2,SPICYCANDY DANCESTUDIO,東京都台東区浅草橋4-2-8伊藤ビル1階,1,https://dance-studio-lab.com/room/NGFjMTNkYTgtNmQ4My00ZTgxLWI3ZmYtMjM4OGVjNDM4Yjk3/detail,浅草橋駅,341.0,ChIJb_joAnyPGGARY_blojM_gJM,【レンタルスタジオ】SPICY CANDY【ボディメイク】,4.0,1.0,0.408,OK,157.05,提携 | ★4.0(+16pt) | 口コミ1件(+0pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=上野
上野のレンタルダンススタジオおすすめ,エリア,S,3,レンタルスタジオODORU,〒110-0015 東京都台東区東上野３丁目１８-１ B1,0,,上野駅,319.0,ChIJ259S0_CPGGAR4iLDbIyPZB4,レンタルスタジオODORU,4.8,55.0,1.0,OK,64.95,★4.8(+19pt) | 口コミ55件(+3pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=上野
上野のレンタルダンススタジオおすすめ,エリア,S,4,ムーンプレイス レンタルスタジオ蔵前,〒111-0043 東京都台東区駒形２丁目１-５ ３階,0,,蔵前駅,224.0,ChIJWc_yyk2PGGARIYIy_QUNMo0,ムーンプレイス レンタルスタジオ蔵前,5.0,1.0,1.0,OK,63.05,★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=上野
上野のレンタルダンススタジオおすすめ,エリア,S,5,秋葉原ブルーハス レンタルスタジオ,〒110-0006 東京都台東区秋葉原３-１０ 東京商会秋葉原ビルB1階,0,,秋葉原駅,393.0,ChIJi43K6wKPGGARn2_l0sFecn0,秋葉原ブルーハス レンタルスタジオ,4.0,2.0,1.0,OK,61.1,★4.0(+16pt) | 口コミ2件(+0pt) | 駅近500m以内 | 複数記事候補×6 | primary_area=上野
上野のレンタルダンススタジオおすすめ,エリア,S,6,レンタルスタジオ三ノ輪,〒110-0011 東京都台東区三ノ輪１丁目１０-９ GATTINO 1F,0,,三ノ輪駅,219.0,ChIJl9-UloyOGGARnFoqPb_I9bk,レンタルスタジオ三ノ輪,5.0,1.0,1.0,OK,61.05,★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=上野
上野のレンタルダンススタジオおすすめ,エリア,S,7,浅草スタジオ２２６,〒111-0033 東京都台東区花川戸２丁目２-６ エビスビル 7階,0,,浅草駅,459.0,ChIJVfl8ecOOGGARD6WTv1XzWQU,浅草スタジオ２２６,3.7,46.0,1.0,OK,60.1,★3.7(+15pt) | 口コミ46件(+2pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=上野
上野のレンタルダンススタジオおすすめ,エリア,S,8,FunnyTips（ファニーティップス）,〒101-0021 東京都千代田区外神田５丁目５-７ パンセ秋葉原 B1F,0,,秋葉原駅,633.0,ChIJic3HKR6MGGARaMdPLHK5NOk,FunnyTips（ファニーティップス）,4.8,42.0,1.0,OK,59.3,★4.8(+19pt) | 口コミ42件(+2pt) | 駅近1000m以内 | 複数記事候補×6 | tag/station:上野
上野のレンタルダンススタジオおすすめ,エリア,S,9,スタジオジパング 上野スタジオSTANDARD,"〒110-0015 東京都台東区東上野３丁目１４-１２, Ueno Bldg., B1 旧 辻井ビル",0,,上野駅,404.0,ChIJAa1J7Z-PGGARYdz1kIxyl0E,スタジオジパング 上野スタジオSTANDARD,4.0,3.0,1.0,OK,59.15,★4.0(+16pt) | 口コミ3件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=上野
上野のレンタルダンススタジオおすすめ,エリア,S,10,ミライスタジオ上野,〒110-0003 東京都台東区根岸１丁目５-１３,0,,日暮里駅,943.0,ChIJEx8RZU6PGGARao7zHmKHtEs,ミライスタジオ上野,4.9,12.0,1.0,OK,58.2,★4.9(+20pt) | 口コミ12件(+1pt) | 駅近1000m以内 | 複数記事候補×6 | primary_area=上野
