studio_title,api_status,google_name,match_confidence,website_uri,url_accessible,google_address,query_used
BUZZ新宿,OK,BUZZ新宿,1.0,https://buzz-st.com/shinjuku/,False,〒160-0023 東京都新宿区西新宿７丁目１６−４ 地下1階 Concierge高橋 BF,BUZZ新宿 東京都新宿区西新宿
レンタルダンススタジオ LANDstudio 新宿店,OK,LANDstudio 新宿店,0.703,https://land-studio.jp/?utm_source=gbp&utm_medium=referral,False,〒169-0073 東京都新宿区百人町１丁目２２−１９ 筒井ビル B1F,レンタルダンススタジオ LANDstudio 新宿店 東京都新宿区百人町
BUZZ レンタルスタジオ新宿コンシェルジュ店,OK,BUZZ新宿コンシェルジュ,0.743,https://buzz-st.com/shinjuku4,False,〒160-0023 東京都新宿区西新宿７丁目１６−４ Concierge高橋 BF 地下 一階,BUZZ レンタルスタジオ新宿コンシェルジュ店 東京都新宿区西新宿
BUZZ レンタルスタジオ 新宿ハウス店,OK,BUZZ新宿ハウス,0.667,https://buzz-st.com/shinjuku2,False,〒160-0023 東京都新宿区西新宿７丁目１６−１ Ｃｏｎｃｉｅｒｇｅ石原 スタジオ1F・2F,BUZZ レンタルスタジオ 新宿ハウス店 東京都新宿区西新宿
村田正樹タップダンス教室,OK,鳴る靴タップダンス教室【新宿】,0.593,https://www.narukutsu.com/,True,〒169-0074 東京都新宿区北新宿２丁目１−２,村田正樹タップダンス教室 東京都新宿区北新宿
BUZZ レンタルスタジオ新宿4丁目店,OK,BUZZ新宿4丁目,0.667,https://buzz-st.com/shinjuku3,False,〒160-0022 東京都新宿区新宿４丁目２−２１ 相模ビル B1F,BUZZ レンタルスタジオ新宿4丁目店 東京都新宿区新宿
レンタルスタジオ 301,OK,レンタルスタジオ 301,1.0,https://shierushan.com/,False,〒160-0021 東京都新宿区歌舞伎町２丁目８−１２ 新宿グリーンプラザ 301号,レンタルスタジオ 301 東京都新宿区歌舞伎町
BUZZ レンタルスタジオ 代々木店,OK,BUZZ代々木,0.609,https://buzz-st.com/yoyogi/,False,〒151-0053 東京都渋谷区代々木１丁目３６−１ B1,BUZZ レンタルスタジオ 代々木店 東京都渋谷区代々木
レンタルスペース「301」,OK,レンタルスペース「301」,1.0,https://shierushan.com/,False,〒160-0021 東京都新宿区歌舞伎町２丁目８−１２ 新宿グリーンプラザ 301号,レンタルスペース「301」 東京都新宿区歌舞伎町
レンタルスタジオ「Ten（テン）」,OK,レンタルスタジオ「Ten（テン）」,1.0,https://shierushan.com/,False,〒160-0021 東京都新宿区歌舞伎町２丁目８−１２ 新宿グリーンプラザ 303号,レンタルスタジオ「Ten（テン）」 東京都新宿区歌舞伎町
すむぞう 代々木スタジオ,OK,すむぞう 代々木スタジオ,1.0,,False,〒151-0053 東京都渋谷区代々木１丁目４５−７ C's YOYOGI 4F,すむぞう 代々木スタジオ 東京都渋谷区代々木
ACFit 赤坂見附スタジオ,OK,ACFit 赤坂見附スタジオ,1.0,,False,〒107-0052 東京都港区赤坂３丁目４−３ 赤坂マカベビル B1F,ACFit 赤坂見附スタジオ 東京都港区赤坂
渋谷店 レンタルダンススタジオ ＲＯＯＴＳ,OK,渋谷店 レンタルダンススタジオ ＲＯＯＴＳ,1.0,https://www.dancestudioroots.com/shibuya-2/,False,〒150-0011 東京都渋谷区東１丁目２４−８ トキワマツ72ビル A号,渋谷店 レンタルダンススタジオ ＲＯＯＴＳ 東京都渋谷区東
Be Rise Dance Studio,OK,Be Rise Dance Studio,1.0,https://br-dance.com/,False,〒174-0056 東京都板橋区志村１丁目３２−３０ 山和建物 1階,Be Rise Dance Studio 東京都板橋区志村
BUZZ SHIBUYA店,OK,BUZZ渋谷,0.444,http://buzz-st.com/shibuya/,False,〒150-0042 東京都渋谷区宇田川町４−１０ 宇田川町ビル B1～3F,BUZZ SHIBUYA店 東京都渋谷区宇田川町４-１０ 宇田川町ビル B1～3F
BUZZ レンタルスタジオ 池袋本店,OK,BUZZ池袋本店,0.667,https://buzz-st.com/ikebukuro4/,False,〒171-0022 東京都豊島区南池袋１丁目２０−１ 3F,BUZZ レンタルスタジオ 池袋本店 東京都豊島区南池袋
BUZZ レンタルスタジオ 高田馬場店,OK,BUZZ高田馬場,0.64,https://buzz-st.com/takadanobaba/,False,〒169-0075 東京都新宿区高田馬場４丁目１４−６ 地下1階,BUZZ レンタルスタジオ 高田馬場店 東京都新宿区高田馬場
