studio_title,normalized_name,group_key,group_method,group_reason
渋谷店 レンタルダンススタジオ ＲＯＯＴＳ,渋谷店 レンタルダンススタジオ ROOTS,渋谷店 レンタルダンススタジオ ROOTS,normalized,normalized_name
ARTIST DANCE STUDIO,ARTIST DANCE STUDIO,ARTIST DANCE STUDIO,normalized,normalized_name
BUZZ レンタルスタジオ 渋谷東口SQUARE店,BUZZ,BUZZ,normalized,normalized_name
BUZZ レンタルスタジオ 渋谷PARK店,BUZZ,BUZZ,normalized,normalized_name
レンタルスタジオマイレッスン 渋谷店,レンタルスタジオマイレッスン,レンタルスタジオマイレッスン,normalized,normalized_name
渋谷のレンタルスタジオ ユニアス,渋谷のレンタルスタジオ ユニアス,渋谷のレンタルスタジオ ユニアス,normalized,normalized_name
BUZZ渋谷MARKCITY,BUZZ渋谷MARKCITY,BUZZ渋谷MARKCITY,normalized,normalized_name
キャナリー,キャナリー,キャナリー,normalized,normalized_name
タヒチアンダンススタジオ ライマーラマ表参道,タヒチアンダンススタジオ ライマーラマ表参道,タヒチアンダンススタジオ ライマーラマ表参道,normalized,normalized_name
チェリッシュスタジオ3号館／10号館,チェリッシュスタジオ3号館/10号館,チェリッシュスタジオ3号館/10号館,normalized,normalized_name
レンタルスタジオ HIKARI 渋谷,HIKARI,HIKARI,normalized,normalized_name
渋谷 レンタルスタジオ スタジオミッション studio mission,渋谷 レンタルスタジオ スタジオミッション studio mission,渋谷 レンタルスタジオ スタジオミッション studio mission,normalized,normalized_name
表参道レンタルスタジオ スタジオ ティノラス,表参道レンタルスタジオ スタジオ ティノラス,表参道レンタルスタジオ スタジオ ティノラス,normalized,normalized_name
BUZZ渋谷TOWER,BUZZ渋谷TOWER,BUZZ渋谷TOWER,normalized,normalized_name
チェリッシュスタジオ1号館/6号館,チェリッシュスタジオ1号館/6号館,チェリッシュスタジオ1号館/6号館,normalized,normalized_name
Hina STUDIO（ヒナスタジオ）【目黒スタジオ】,Hina STUDIO,Hina STUDIO,normalized,normalized_name
チェリッシュスタジオ7号館,チェリッシュスタジオ7号館,チェリッシュスタジオ7号館,normalized,normalized_name
チェリッシュスタジオ4号館/8号館,チェリッシュスタジオ4号館/8号館,チェリッシュスタジオ4号館/8号館,normalized,normalized_name
ザ・スペース大久保南口,ザ・スペース大久保南口,ザ・スペース大久保南口,normalized,normalized_name
チェリッシュスタジオ5号館,チェリッシュスタジオ5号館,チェリッシュスタジオ5号館,normalized,normalized_name
レンタルスタジオAivic渋谷道玄坂,レンタルスタジオAivic渋谷道玄坂,レンタルスタジオAivic渋谷道玄坂,normalized,normalized_name
チェリッシュスタジオ9号館,チェリッシュスタジオ9号館,チェリッシュスタジオ9号館,normalized,normalized_name
レンタルスタジオAivic恵比寿,レンタルスタジオAivic恵比寿,レンタルスタジオAivic恵比寿,normalized,normalized_name
