studio_title,address,website,phone,dslurl,is_partner,candidate_article_count,s_article_count,api_priority_score,api_target_reason,place_id,google_name,rating,review_count,google_address,match_confidence,api_status,query_used
スタジオ五軒町／『鏡張り』の多目的に利用できる『防音』スタジオ,東京都千代田区外神田6-16-1,,,https://dance-studio-lab.com/room/ODZiZjA3NDItNjk4ZS00YjMxLWFjMGQtMGU5ZjVkZDg5OWQw/detail,1,7,5,200,提携スタジオ|S優先度記事×5|複数記事候補×7|候補少記事に出現,ChIJqR_N5JuNGGARtspyhrGKB8M,スタジオ五軒町,4.9,18.0,〒101-0021 東京都千代田区外神田６丁目１６−１ 外神田フジハイツ 地下1階,0.368,OK,スタジオ五軒町／『鏡張り』の多目的に利用できる『防音』スタジオ 東京都千代田区外神田6-16-1
BUZZ渋谷TOWER,東京都渋谷区東2-27-9],,,https://dance-studio-lab.com/room/YWZmOTdhZGMtMjk1MC00ODljLWE2YWUtMDRjMGM5NTIxZTg2/detail,1,8,5,190,提携スタジオ|S優先度記事×5|複数記事候補×8,ChIJQUYpSQCLGGARsF4hafI8N7A,BUZZ渋谷TOWER,3.9,9.0,〒150-0011 東京都渋谷区東２丁目２７−９,1.0,OK,BUZZ渋谷TOWER 東京都渋谷区東2-27-9]
THビル貸し会議室 レンタルスタジオ,〒151-0053 東京都渋谷区代々木２丁目４-１ Thビル,https://sinjukuth.jimdofree.com/,090-2558-7140,https://dance-studio-lab.com/room/ZGYxYjYyNDgtMDEzOC00MjZhLTgyZDctODZlMDViYTQ0NDgy/detail,1,8,5,190,提携スタジオ|S優先度記事×5|複数記事候補×8,ChIJGb3dtiaNGGAR08--7YnH1VM,THビル貸し会議室 レンタルスタジオ,3.6,5.0,〒151-0053 東京都渋谷区代々木２丁目４−１ THビル,1.0,OK,THビル貸し会議室 レンタルスタジオ 東京都渋谷区代々木
レンタルスタジオAivic恵比寿,東京都渋谷区恵比寿西1-14-3 満栄佐藤ビル202,,,https://dance-studio-lab.com/room/MzMyZDY5NzktNDEzOS00MzAyLWJjNzEtMjZiMjNiNzUwNGMy/detail,1,7,5,185,提携スタジオ|S優先度記事×5|複数記事候補×7,ChIJbddKNQCLGGAR5i2xL19gjec,レンタルスタジオ Aivic恵比寿1号店,,,〒150-0021 東京都渋谷区恵比寿西１丁目１４−３ 佐藤ビル 満栄佐藤ビル202,0.914,OK,レンタルスタジオAivic恵比寿 東京都渋谷区恵比寿西1-14-3 満栄佐藤ビル202
BUZZ レンタルスタジオ 神田店,〒101-0047 東京都千代田区内神田２丁目９-９ 神田西口ビル B1F,,,https://dance-studio-lab.com/room/ODJkZDE5YzQtMTlhZS00NjNlLWJlZTQtNDA3NTU3MTQ5NDg5/detail,1,8,4,185,提携スタジオ|S優先度記事×4|複数記事候補×8|候補少記事に出現,ChIJs4poIDGNGGARyb9k_Nit0LI,BUZZ神田,4.1,10.0,〒101-0047 東京都千代田区内神田２丁目９−９ 神田西口ビル B1F,0.571,OK,BUZZ レンタルスタジオ 神田店 東京都千代田区内神田
チェリッシュスタジオ9号館,東京都渋谷区鶯谷町15-7 ライブリーYSビル6階,https://cherish-studio.com/09st/,,https://dance-studio-lab.com/room/NGU3OTQ4YzEtMzA3OS00NDc3LThjODQtYWFkMmUzMTE4ZmFm/detail,1,6,5,180,提携スタジオ|S優先度記事×5|複数記事候補×6,ChIJ2Umz5_2LGGARzBCaEFk8wWE,チェリッシュスタジオ9号館,3.5,2.0,〒150-0032 東京都渋谷区鶯谷町１５−７ ライブリーＹＳビル 6階,1.0,OK,チェリッシュスタジオ9号館 東京都渋谷区鶯谷町15-7 ライブリーYSビル6階
BUZZ レンタルスタジオ新宿コンシェルジュ店,〒160-0023 東京都新宿区西新宿７丁目１６-４ Concierge高橋 BF 地下 一階,,,https://dance-studio-lab.com/room/OGUzNmE0NzUtZDU1NS00ZjIyLTg4OGItNDYyOWI2YzkzOTA0/detail,1,8,4,170,提携スタジオ|S優先度記事×4|複数記事候補×8,ChIJf860TjWNGGARUKRbl5Uu9ss,BUZZ新宿コンシェルジュ,,,〒160-0023 東京都新宿区西新宿７丁目１６−４ Concierge高橋 BF 地下 一階,0.743,OK,BUZZ レンタルスタジオ新宿コンシェルジュ店 東京都新宿区西新宿
BUZZ レンタルスタジオ 渋谷PARK店,〒150-0042 東京都渋谷区宇田川町１９-５,,,https://dance-studio-lab.com/room/YmNlM2RmNGMtNGI0Mi00ZTg4LTk4OTYtNjY4NWRiM2JmNzhm/detail,1,8,4,170,提携スタジオ|S優先度記事×4|複数記事候補×8,ChIJj1Xu_r2NGGARdm3n9K-BDqY,BUZZ渋谷PARK,3.6,14.0,〒150-0042 東京都渋谷区宇田川町１９−５,0.69,OK,BUZZ レンタルスタジオ 渋谷PARK店 東京都渋谷区宇田川町１９?５
Studio-Bio,東京都渋谷区千駄ヶ谷3−41−12　シャトル千駄ヶ谷B1(地下),https://studio-bio123.com/,,https://dance-studio-lab.com/room/MTI3NDc3MzgtMTBhMy00NGY2LWE3MGQtZmM5YzdiYjVmNzM2/detail,1,8,4,170,提携スタジオ|S優先度記事×4|複数記事候補×8,ChIJeSg5VJWNGGARIJQppzQUS9Q,レンタルダンススタジオ『Studio-Bio北参道』,5.0,5.0,〒151-0051 東京都渋谷区千駄ケ谷３丁目４１−１２ シャトル 千駄ヶ谷 B1,0.529,OK,Studio-Bio 東京都渋谷区千駄ヶ谷3−41−12　シャトル千駄ヶ谷B1(地下)
BUZZ新宿,〒160-0023 東京都新宿区西新宿７丁目１６-４ Concierge高橋 BF 地下1階,,,https://dance-studio-lab.com/room/NThmODMwMDctZjkyNi00ZTE3LTgwNjQtMDRmOGIwMmQ5ZTRi/detail,1,7,4,165,提携スタジオ|S優先度記事×4|複数記事候補×7,ChIJcxTJc7GNGGAR4051ceCwzfc,BUZZ新宿,4.0,9.0,〒160-0023 東京都新宿区西新宿７丁目１６−４ 地下1階 Concierge高橋 BF,1.0,OK,BUZZ新宿 東京都新宿区西新宿
BUZZ レンタルスタジオ 新宿ハウス店,〒160-0023 東京都新宿区西新宿７丁目１６-１,,,https://dance-studio-lab.com/room/MWYzNmNhZGMtMWZiNi00MjBiLWJjNzMtZmFmNjAxYmQ5MjA3/detail,1,7,4,165,提携スタジオ|S優先度記事×4|複数記事候補×7,ChIJRc7vzXuNGGAR0_J9NkqzufI,BUZZ新宿ハウス,5.0,1.0,〒160-0023 東京都新宿区西新宿７丁目１６−１ Ｃｏｎｃｉｅｒｇｅ石原 スタジオ1F・2F,0.667,OK,BUZZ レンタルスタジオ 新宿ハウス店 東京都新宿区西新宿
