studio_title,address,website,phone,dslurl,is_partner,candidate_article_count,s_article_count,api_priority_score,api_target_reason
スタジオ五軒町／『鏡張り』の多目的に利用できる『防音』スタジオ,東京都千代田区外神田6-16-1,,,https://dance-studio-lab.com/room/ODZiZjA3NDItNjk4ZS00YjMxLWFjMGQtMGU5ZjVkZDg5OWQw/detail,1,7,5,200,提携スタジオ|S優先度記事×5|複数記事候補×7|候補少記事に出現
BUZZ渋谷TOWER,東京都渋谷区東2-27-9],,,https://dance-studio-lab.com/room/YWZmOTdhZGMtMjk1MC00ODljLWE2YWUtMDRjMGM5NTIxZTg2/detail,1,8,5,190,提携スタジオ|S優先度記事×5|複数記事候補×8
THビル貸し会議室 レンタルスタジオ,〒151-0053 東京都渋谷区代々木２丁目４-１ Thビル,https://sinjukuth.jimdofree.com/,090-2558-7140,https://dance-studio-lab.com/room/ZGYxYjYyNDgtMDEzOC00MjZhLTgyZDctODZlMDViYTQ0NDgy/detail,1,8,5,190,提携スタジオ|S優先度記事×5|複数記事候補×8
レンタルスタジオAivic恵比寿,東京都渋谷区恵比寿西1-14-3 満栄佐藤ビル202,,,https://dance-studio-lab.com/room/MzMyZDY5NzktNDEzOS00MzAyLWJjNzEtMjZiMjNiNzUwNGMy/detail,1,7,5,185,提携スタジオ|S優先度記事×5|複数記事候補×7
BUZZ レンタルスタジオ 神田店,〒101-0047 東京都千代田区内神田２丁目９-９ 神田西口ビル B1F,,,https://dance-studio-lab.com/room/ODJkZDE5YzQtMTlhZS00NjNlLWJlZTQtNDA3NTU3MTQ5NDg5/detail,1,8,4,185,提携スタジオ|S優先度記事×4|複数記事候補×8|候補少記事に出現
チェリッシュスタジオ9号館,東京都渋谷区鶯谷町15-7 ライブリーYSビル6階,https://cherish-studio.com/09st/,,https://dance-studio-lab.com/room/NGU3OTQ4YzEtMzA3OS00NDc3LThjODQtYWFkMmUzMTE4ZmFm/detail,1,6,5,180,提携スタジオ|S優先度記事×5|複数記事候補×6
BUZZ レンタルスタジオ新宿コンシェルジュ店,〒160-0023 東京都新宿区西新宿７丁目１６-４ Concierge高橋 BF 地下 一階,,,https://dance-studio-lab.com/room/OGUzNmE0NzUtZDU1NS00ZjIyLTg4OGItNDYyOWI2YzkzOTA0/detail,1,8,4,170,提携スタジオ|S優先度記事×4|複数記事候補×8
BUZZ レンタルスタジオ 渋谷PARK店,〒150-0042 東京都渋谷区宇田川町１９-５,,,https://dance-studio-lab.com/room/YmNlM2RmNGMtNGI0Mi00ZTg4LTk4OTYtNjY4NWRiM2JmNzhm/detail,1,8,4,170,提携スタジオ|S優先度記事×4|複数記事候補×8
Studio-Bio,東京都渋谷区千駄ヶ谷3−41−12　シャトル千駄ヶ谷B1(地下),https://studio-bio123.com/,,https://dance-studio-lab.com/room/MTI3NDc3MzgtMTBhMy00NGY2LWE3MGQtZmM5YzdiYjVmNzM2/detail,1,8,4,170,提携スタジオ|S優先度記事×4|複数記事候補×8
BUZZ新宿,〒160-0023 東京都新宿区西新宿７丁目１６-４ Concierge高橋 BF 地下1階,,,https://dance-studio-lab.com/room/NThmODMwMDctZjkyNi00ZTE3LTgwNjQtMDRmOGIwMmQ5ZTRi/detail,1,7,4,165,提携スタジオ|S優先度記事×4|複数記事候補×7
BUZZ レンタルスタジオ 新宿ハウス店,〒160-0023 東京都新宿区西新宿７丁目１６-１,,,https://dance-studio-lab.com/room/MWYzNmNhZGMtMWZiNi00MjBiLWJjNzMtZmFmNjAxYmQ5MjA3/detail,1,7,4,165,提携スタジオ|S優先度記事×4|複数記事候補×7
BUZZ渋谷MARKCITY,〒150-0043 東京都渋谷区道玄坂１丁目１７ 9BUZZビル,,,https://dance-studio-lab.com/room/MTJmOWU1NGQtYmViZC00YWEzLWI5Y2ItNGFhYzU3YTAyZTBk/detail,1,6,4,160,提携スタジオ|S優先度記事×4|複数記事候補×6
レンタルスタジオAivic渋谷道玄坂,東京都渋谷区円山町23-10 渋谷ATビル201,,,https://dance-studio-lab.com/room/NWE2MDljYmItN2I0ZC00ZjIzLWI3MGEtMmZiNmEzNWJjOWI4/detail,1,6,4,160,提携スタジオ|S優先度記事×4|複数記事候補×6
