article_title,studio_title,group_key,is_partner,business_status,google_rating,google_review_count,rental_fit_score,distance_to_article_station_m,score_rental_fit,score_partner,score_distance,score_review_count,score_rating,score_business_status,score_meo,score_penalty,selection_score,selection_reason,selected
新宿駅のレンタルダンススタジオおすすめ,ソニズレンタルスタジオ新宿店,ソニズレンタル,0,OPERATIONAL,4.7,3.0,30,851.5,15,0,4,3,12,0,0,0,34,fit=30(+15) | 852m(+4) | 口コミ3件(+3) | 評価4.7(+12),True
新宿駅のレンタルダンススタジオおすすめ,BUZZ新宿,BUZZ,1,OPERATIONAL,4.0,9.0,30,723.9,15,20,8,6,3,0,0,0,52,提携(+20) | fit=30(+15) | 724m(+8) | 口コミ9件(+6) | 評価4.0(+3),False
新宿駅のレンタルダンススタジオおすすめ,レンタルダンススタジオ LANDstudio 新宿店,LANDstudio,0,OPERATIONAL,5.0,3.0,40,1187.5,35,0,4,3,12,0,0,0,54,fit=40(+35) | 1188m(+4) | 口コミ3件(+3) | 評価5.0(+12),True
新宿駅のレンタルダンススタジオおすすめ,BUZZ レンタルスタジオ新宿コンシェルジュ店,BUZZ,1,OPERATIONAL,,,60,719.1,50,20,8,0,0,0,0,-5,73,提携(+20) | fit=60(+50) | 719m(+8) | 低評価ペナルティ(-5),False
新宿駅のレンタルダンススタジオおすすめ,BUZZ レンタルスタジオ 新宿ハウス店,BUZZ,1,OPERATIONAL,5.0,1.0,60,694.9,50,20,8,0,2,0,0,0,80,提携(+20) | fit=60(+50) | 695m(+8) | 口コミ1件(+0) | 評価5.0(+2),True
新宿駅のレンタルダンススタジオおすすめ,BUZZ レンタルスタジオ新宿4丁目店,BUZZ,0,OPERATIONAL,3.5,10.0,30,319.4,15,0,12,10,0,0,0,0,37,fit=30(+15) | 319m(+12) | 口コミ10件(+10) | 評価3.5(+0),False
新宿駅のレンタルダンススタジオおすすめ,レンタルスタジオマイレッスン 新宿御苑前,レンタルスタジオマイレッスン 新宿御苑前,0,OPERATIONAL,4.0,13.0,30,1077.2,15,0,4,10,5,0,0,0,34,fit=30(+15) | 1077m(+4) | 口コミ13件(+10) | 評価4.0(+5),True
新宿駅のレンタルダンススタジオおすすめ,レンタルスタジオ 301,301,0,OPERATIONAL,,,30,798.3,15,0,8,0,0,0,0,-5,18,fit=30(+15) | 798m(+8) | 低評価ペナルティ(-5),True
新宿駅のレンタルダンススタジオおすすめ,BUZZ レンタルスタジオ 代々木店,BUZZ,0,OPERATIONAL,2.8,14.0,30,635.8,15,0,8,10,0,0,0,0,33,fit=30(+15) | 636m(+8) | 口コミ14件(+10) | 評価2.8(+0),False
新宿駅のレンタルダンススタジオおすすめ,レンタルスタジオ「Ten（テン）」,レンタルスタジオ「Ten」,0,OPERATIONAL,5.0,1.0,30,798.3,15,0,8,0,2,0,0,-8,17,fit=30(+15) | 798m(+8) | 口コミ1件(+0) | 評価5.0(+2) | 低評価ペナルティ(-8),True
新宿駅のレンタルダンススタジオおすすめ,Studio.m 新宿レンタルスタジオ,Studio.m,0,OPERATIONAL,,,30,767.0,15,0,8,0,0,0,0,-5,18,fit=30(+15) | 767m(+8) | 低評価ペナルティ(-5),True
新宿駅のレンタルダンススタジオおすすめ,Beat Box Dance Studio,Beat Box Dance Studio,0,OPERATIONAL,3.8,4.0,25,787.9,15,0,8,3,0,0,0,0,26,fit=25(+15) | 788m(+8) | 口コミ4件(+3) | 評価3.8(+0),True
新宿駅のレンタルダンススタジオおすすめ,ICHIBANGAI Dance Studio,ICHIBANGAI Dance Studio,0,OPERATIONAL,4.8,8.0,25,1126.8,15,0,4,6,12,0,0,0,37,fit=25(+15) | 1127m(+4) | 口コミ8件(+6) | 評価4.8(+12),True
新宿駅のレンタルダンススタジオおすすめ,Ｍ＆Ｓダンススタジオ,M&Sダンススタジオ,0,OPERATIONAL,5.0,1.0,25,903.2,15,0,4,0,2,0,0,-8,13,fit=25(+15) | 903m(+4) | 口コミ1件(+0) | 評価5.0(+2) | 低評価ペナルティ(-8),False
新宿駅のレンタルダンススタジオおすすめ,STUDIO COCORO（スタジオココロ）- 新宿代々木のレンタルスペース&ダンススタジオ - 数々のイベントやメディアに出演,STUDIO COCORO,0,OPERATIONAL,3.9,11.0,25,753.4,15,0,8,10,0,0,0,0,33,fit=25(+15) | 753m(+8) | 口コミ11件(+10) | 評価3.9(+0),True
新宿駅のレンタルダンススタジオおすすめ,THビル貸し会議室 レンタルスタジオ,TH会場,0,OPERATIONAL,3.6,5.0,30,331.4,15,0,12,6,0,0,0,0,33,fit=30(+15) | 331m(+12) | 口コミ5件(+6) | 評価3.6(+0),False
新宿駅のレンタルダンススタジオおすすめ,ＴＨ会場,TH会場,0,OPERATIONAL,4.3,3.0,20,332.2,15,0,12,3,6,0,0,0,36,fit=20(+15) | 332m(+12) | 口コミ3件(+3) | 評価4.3(+6),True
新宿駅のレンタルダンススタジオおすすめ,ダンススタジオ石井,ダンススタジオ石井,0,OPERATIONAL,,,25,1046.2,15,0,4,0,0,0,0,-5,14,fit=25(+15) | 1046m(+4) | 低評価ペナルティ(-5),False
新宿駅のレンタルダンススタジオおすすめ,レンタルスタジオ HIKARI 新宿三丁目,HIKARI,0,OPERATIONAL,3.0,1.0,30,798.3,15,0,8,0,0,0,0,-23,0,fit=30(+15) | 798m(+8) | 口コミ1件(+0) | 評価3.0(+0) | 低評価ペナルティ(-23),False
新宿駅のレンタルダンススタジオおすすめ,レンタルスタジオ HIKARI 西新宿７丁目,HIKARI,0,OPERATIONAL,3.0,1.0,30,540.6,15,0,8,0,0,0,0,-23,0,fit=30(+15) | 541m(+8) | 口コミ1件(+0) | 評価3.0(+0) | 低評価ペナルティ(-23),False
新宿駅のレンタルダンススタジオおすすめ,新宿 だんすた レンタルスタジオ,新宿 だんすた,0,OPERATIONAL,4.4,12.0,30,621.9,15,0,8,10,8,0,0,0,41,fit=30(+15) | 622m(+8) | 口コミ12件(+10) | 評価4.4(+8),True
新宿駅のレンタルダンススタジオおすすめ,天空MURAダンススタジオStudioStyle+,天空MURAダンススタジオStudioStyle+,0,OPERATIONAL,3.3,3.0,25,1091.3,15,0,4,3,0,0,0,-15,7,fit=25(+15) | 1091m(+4) | 口コミ3件(+3) | 評価3.3(+0) | 低評価ペナルティ(-15),False
新宿駅のレンタルダンススタジオおすすめ,Hina STUDIO(ヒナスタジオ)【新宿西口アネックス】,Hina STUDIO,1,OPERATIONAL,,,30,649.2,15,15,8,0,0,0,0,-5,33,提携(+15) | fit=30(+15) | 649m(+8) | 低評価ペナルティ(-5),False
新宿駅のレンタルダンススタジオおすすめ,BEATs レンタルスタジオ ビーツ,BEATs レンタルスタジオ ビーツ,1,OPERATIONAL,,,60,787.1,50,20,8,0,0,0,0,-5,73,提携(+20) | fit=60(+50) | 787m(+8) | 低評価ペナルティ(-5),True
新宿駅のレンタルダンススタジオおすすめ,Hina STUDIO(ヒナスタジオ)【新宿西口スタジオ】,Hina STUDIO,1,OPERATIONAL,,,30,518.6,15,15,8,0,0,0,0,-5,33,提携(+15) | fit=30(+15) | 519m(+8) | 低評価ペナルティ(-5),True
新宿駅のレンタルダンススタジオおすすめ,Studio-Bio,Studio-Bio,1,OPERATIONAL,,,30,1346.2,15,15,-5,0,0,0,0,-5,20,提携(+15) | fit=30(+15) | 1346m(+-5) | 低評価ペナルティ(-5),True
