rank,studio_title,group_key,is_partner,dslurl,address,primary_station,candidate_stations,article_station,distance_to_article_station_m,article_match_method,rental_fit_score,rental_fit_reason,selection_score,selection_reason,score_rental_fit,score_partner,score_distance,score_review_count,score_rating,score_business_status,score_meo,score_penalty,google_rating,google_review_count,official_url,website,branches,internal_note
1,BUZZ レンタルスタジオ 新宿ハウス店,BUZZ,1,https://dance-studio-lab.com/room/MWYzNmNhZGMtMWZiNi00MjBiLWJjNzMtZmFmNjAxYmQ5MjA3/detail,〒160-0023 東京都新宿区西新宿７丁目１６-１,西武新宿駅,西武新宿駅|新宿駅|新大久保駅,新宿駅,694.9,station_distance,60,+30(dslurl)|+30(レンタルスタジオ),80,提携(+20) | fit=60(+50) | 695m(+8) | 口コミ1件(+0) | 評価5.0(+2),50,20,8,0,2,0,0,0,5.0,1.0,https://buzz-st.com/shinjuku2/,https://buzz-st.com/shinjuku2/,BUZZ レンタルスタジオ新宿コンシェルジュ店|BUZZ新宿|BUZZ レンタルスタジオ新宿4丁目店|BUZZ レンタルスタジオ 代々木店,
2,BEATs レンタルスタジオ ビーツ,BEATs レンタルスタジオ ビーツ,1,https://dance-studio-lab.com/room/ZWU0MDNlZTUtMDE1Zi00NDcyLWFjZjgtZTAzNzUzZTAwMzNj/detail,東京都渋谷区代々木1-42-2 藤ビル2階,代々木駅,代々木駅|参宮橋駅|北参道駅|新宿駅|新宿三丁目駅|都庁前駅|千駄ケ谷駅|新宿西口駅|初台駅|新宿御苑前駅,新宿駅,787.1,station_distance,60,+30(dslurl)|+30(レンタルスタジオ),73,提携(+20) | fit=60(+50) | 787m(+8) | 低評価ペナルティ(-5),50,20,8,0,0,0,0,-5,,,,,,
3,レンタルダンススタジオ LANDstudio 新宿店,LANDstudio,0,,〒169-0073 東京都新宿区百人町１丁目２２-１９ 筒井ビル B1F,新大久保駅,新大久保駅|西武新宿駅|新宿駅,新宿駅,1187.5,station_distance,40,+40(レンタルダンス),54,fit=40(+35) | 1188m(+4) | 口コミ3件(+3) | 評価5.0(+12),35,0,4,3,12,0,0,0,5.0,3.0,https://land-studio.jp/?utm_source=gbp&utm_medium=referral,https://land-studio.jp/?utm_source=gbp&utm_medium=referral,,
4,新宿 だんすた レンタルスタジオ,新宿 だんすた,0,,〒160-0023 東京都新宿区西新宿７丁目１３-７ 3F4F タカラビル,西武新宿駅,西武新宿駅|新宿駅|新大久保駅,新宿駅,621.9,station_distance,30,+30(レンタルスタジオ),41,fit=30(+15) | 622m(+8) | 口コミ12件(+10) | 評価4.4(+8),15,0,8,10,8,0,0,0,4.4,12.0,https://shinjuku2.inforent.jp/,https://shinjuku2.inforent.jp/,,
5,ICHIBANGAI Dance Studio,ICHIBANGAI Dance Studio,0,,〒160-0022 東京都新宿区新宿１丁目３ 12・B1,代々木駅,代々木駅|新宿駅,新宿駅,1126.8,station_distance,25,+25(ダンススタジオ),37,fit=25(+15) | 1127m(+4) | 口コミ8件(+6) | 評価4.8(+12),15,0,4,6,12,0,0,0,4.8,8.0,http://www.studio1b.jp/,http://www.studio1b.jp/,,
6,ＴＨ会場,TH会場,0,,〒151-0053 東京都渋谷区代々木２丁目４-１,新宿駅,新宿駅|代々木駅|西武新宿駅,新宿駅,332.2,station_distance,20,+20(web),36,fit=20(+15) | 332m(+12) | 口コミ3件(+3) | 評価4.3(+6),15,0,12,3,6,0,0,0,4.3,3.0,https://sinjukuth.jimdofree.com/,https://sinjukuth.jimdofree.com/,THビル貸し会議室 レンタルスタジオ,
7,ソニズレンタルスタジオ新宿店,ソニズレンタル,0,,〒160-0023 東京都新宿区西新宿７丁目２２-３１ 柏木 MURA B1F,西武新宿駅,西武新宿駅|新大久保駅|新宿駅,新宿駅,851.5,station_distance,30,+30(レンタルスタジオ),34,fit=30(+15) | 852m(+4) | 口コミ3件(+3) | 評価4.7(+12),15,0,4,3,12,0,0,0,4.7,3.0,https://sonysdance.com/,https://sonysdance.com/,,
8,レンタルスタジオマイレッスン 新宿御苑前,レンタルスタジオマイレッスン 新宿御苑前,0,,〒160-0022 東京都新宿区新宿１丁目１７-１,新宿駅,新宿駅|代々木駅,新宿駅,1077.2,station_distance,30,+30(レンタルスタジオ),34,fit=30(+15) | 1077m(+4) | 口コミ13件(+10) | 評価4.0(+5),15,0,4,10,5,0,0,0,4.0,13.0,https://www.my-lesson.jp/,https://www.my-lesson.jp/,,
9,Hina STUDIO(ヒナスタジオ)【新宿西口スタジオ】,Hina STUDIO,1,https://dance-studio-lab.com/room/ZDEyOTIyNTctYjUwOC00ZTY3LTgxMWYtYTI0MzhkNDg4OGNj/detail,東京都新宿区西新宿7-10-12　ダイハンビルデンス4階,新宿西口駅,新宿西口駅|西武新宿駅|西新宿駅|新宿駅|都庁前駅|新宿三丁目駅|大久保駅|新大久保駅|東新宿駅|代々木駅,新宿駅,518.6,station_distance,30,+30(dslurl),33,提携(+15) | fit=30(+15) | 519m(+8) | 低評価ペナルティ(-5),15,15,8,0,0,0,0,-5,,,,,Hina STUDIO(ヒナスタジオ)【新宿西口アネックス】,
10,STUDIO COCORO（スタジオココロ）- 新宿代々木のレンタルスペース&ダンススタジオ - 数々のイベントやメディアに出演,STUDIO COCORO,0,,〒151-0053 東京都渋谷区代々木３丁目９-１１,代々木駅,代々木駅|新宿駅,新宿駅,753.4,station_distance,25,+25(ダンススタジオ),33,fit=25(+15) | 753m(+8) | 口コミ11件(+10) | 評価3.9(+0),15,0,8,10,0,0,0,0,3.9,11.0,http://studio-cocoro.tokyo/,http://studio-cocoro.tokyo/,,
11,Beat Box Dance Studio,Beat Box Dance Studio,0,,〒151-0053 東京都渋谷区代々木１丁目４２-２,代々木駅,代々木駅|新宿駅,新宿駅,787.9,station_distance,25,+25(ダンススタジオ),26,fit=25(+15) | 788m(+8) | 口コミ4件(+3) | 評価3.8(+0),15,0,8,3,0,0,0,0,3.8,4.0,http://www.beatbox-jp.com/,http://www.beatbox-jp.com/,,
12,Studio-Bio,Studio-Bio,1,https://dance-studio-lab.com/room/MTI3NDc3MzgtMTBhMy00NGY2LWE3MGQtZmM5YzdiYjVmNzM2/detail,東京都渋谷区千駄ヶ谷3−41−12　シャトル千駄ヶ谷B1(地下),北参道駅,北参道駅|千駄ケ谷駅|代々木駅|国立競技場駅|原宿駅|明治神宮前〈原宿〉駅|参宮橋駅|新宿御苑前駅|新宿駅|信濃町駅,新宿駅,1346.2,candidate_stations_fallback,30,+30(dslurl),20,提携(+15) | fit=30(+15) | 1346m(+-5) | 低評価ペナルティ(-5),15,15,-5,0,0,0,0,-5,,,,,,
13,Studio.m 新宿レンタルスタジオ,Studio.m,0,,〒160-0022 東京都新宿区新宿５丁目１５?号２ 池与ビル ２０３,西武新宿駅,西武新宿駅|新宿駅|新大久保駅,新宿駅,767.0,station_distance,30,+30(レンタルスタジオ),18,fit=30(+15) | 767m(+8) | 低評価ペナルティ(-5),15,0,8,0,0,0,0,-5,,,,,,
14,レンタルスタジオ 301,301,0,,〒160-0021 東京都新宿区歌舞伎町２丁目８-１２ 新宿グリーンプラザ 301号,西武新宿駅,西武新宿駅|新宿駅|新大久保駅,新宿駅,798.3,station_distance,30,+30(レンタルスタジオ),18,fit=30(+15) | 798m(+8) | 低評価ペナルティ(-5),15,0,8,0,0,0,0,-5,,,https://shierushan.com/,https://shierushan.com/,,
15,レンタルスタジオ「Ten（テン）」,レンタルスタジオ「Ten」,0,,〒160-0021 東京都新宿区歌舞伎町２丁目８-１２ 新宿グリーンプラザ 303号,西武新宿駅,西武新宿駅|新宿駅|新大久保駅,新宿駅,798.3,station_distance,30,+30(レンタルスタジオ),17,fit=30(+15) | 798m(+8) | 口コミ1件(+0) | 評価5.0(+2) | 低評価ペナルティ(-8),15,0,8,0,2,0,0,-8,5.0,1.0,https://shierushan.com/,https://shierushan.com/,,
