タイトル,住所,dslurl,is_partner,dist_to_station_m,latitude,longitude,primary_station,distance_to_primary_station_m,candidate_stations,ward,primary_area,rental,article_tags,Webサイト,電話番号,営業時間
BUZZ レンタルスタジオ新宿4丁目店,〒160-0022 東京都新宿区新宿４丁目２-２１ 相模ビル B1F,,0,319.4,35.6889262,139.7033232,新宿駅,355.0,新宿駅|代々木駅|西武新宿駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:代々木駅|station:西武新宿駅|feature:24h,https://buzz-st.com/shinjuku3,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
THビル貸し会議室 レンタルスタジオ,〒151-0053 東京都渋谷区代々木２丁目４-１ Thビル,,0,331.4,35.687188,139.6983141,新宿駅,451.0,新宿駅|代々木駅|西武新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:新宿駅|station:代々木駅|station:西武新宿駅|feature:24h,https://sinjukuth.jimdo.com/,090-2558-7140,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
ＴＨ会場,〒151-0053 東京都渋谷区代々木２丁目４-１,,0,332.2,35.687185,139.6983,新宿駅,451.0,新宿駅|代々木駅|西武新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:新宿駅|station:代々木駅|station:西武新宿駅|feature:24h,http://th-rental-meeting-room.business.site/,03-3370-6264,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
CARDIO BARRE SHINJUKU (カーディオ・バー 新宿店),〒160-0022 東京都新宿区新宿４丁目２-１６ パシフィックマークス新宿サウスゲート 2階,,0,338.2,35.6894289,139.7036822,新宿駅,351.0,新宿駅|代々木駅|西武新宿駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:代々木駅|station:西武新宿駅|feature:24h,https://cardio-barre.jp/lp/03/?utm_source=facebook&utm_medium=cpc&fbclid=IwAR3Kheu4QwOEsq_Vf6-cZeTgzJ1VLZ2eB-BkHUf42kUJQKr9BH3OyQwSaSg,03-5361-6751,"2024-02-29 木曜日 9時00分～22時00分
2024-03-01 金曜日 9時00分～22時00分
2024-03-02 土曜日 10時00分～20時00分
2024-03-03 日曜日 10時00分～18時00分
2024-03-04 月曜日 9時00分～22時00分
2024-03-05 火曜日 9時00分～22時00分
2024-03-06 水曜日 9時00分～22時00分"
スタジオインディ 新宿店,〒160-0022 東京都新宿区新宿３丁目２２番１１号 新宿ＲＳビル ６階,,0,409.0,35.6932474,139.7016965,新宿駅,289.0,新宿駅|西武新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|station:新大久保駅|feature:24h,https://studioindi.jp/access/shinjuku/?argument=UxWRQv9t&dmai=a5e07032924d4a,050-1709-0496,"LGBTQ フレンドリー2024-02-29 木曜日 10時00分～20時00分
2024-03-01 金曜日 10時00分～20時00分
2024-03-02 土曜日 10時00分～20時00分
2024-03-03 日曜日 10時00分～20時00分
2024-03-04 月曜日 10時00分～20時00分
2024-03-05 火曜日 10時00分～20時00分
2024-03-06 水曜日 10時00分～20時00分
"
NOAダンス教室 新宿校,〒160-0023 東京都新宿区西新宿１丁目３-１４ 9F,,0,413.1,35.6932968,139.6982771,新宿駅,319.0,新宿駅|西武新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|station:新大久保駅|feature:24h,https://www.noadance.jp/,03-3344-5600,"2024-02-29 木曜日 9時00分～23時30分
2024-03-01 金曜日 9時00分～23時30分
2024-03-02 土曜日 11時00分～22時00分
2024-03-03 日曜日 11時00分～22時00分
2024-03-04 月曜日 9時00分～23時30分
2024-03-05 火曜日 9時00分～23時30分
2024-03-06 水曜日 9時00分～23時30分
"
NOAバレエスクール 新宿校,〒160-0023 東京都新宿区西新宿１丁目３-１４ 9F,,0,413.1,35.6932968,139.6982771,新宿駅,319.0,新宿駅|西武新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|station:新大久保駅|feature:24h,https://www.noaballet.jp/,03-3344-5600,"2024-02-29 木曜日 9時00分～23時30分
2024-03-01 金曜日 9時00分～23時30分
2024-03-02 土曜日 11時00分～22時00分
2024-03-03 日曜日 11時00分～22時00分
2024-03-04 月曜日 9時00分～23時30分
2024-03-05 火曜日 9時00分～23時30分
2024-03-06 水曜日 9時00分～23時30分"
NOAダンスアカデミー 新宿本校,〒160-0023 東京都新宿区西新宿１丁目３-１４ 新宿プラザ（受付 6F,,0,413.1,35.6932968,139.6982771,新宿駅,319.0,新宿駅|西武新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|station:新大久保駅|feature:24h,http://www.noadance.com/,03-3362-7011,"2024-02-29 木曜日 9時00分～23時30分
2024-03-01 金曜日 9時00分～23時30分
2024-03-02 土曜日 11時00分～22時00分
2024-03-03 日曜日 11時00分～22時00分
2024-03-04 月曜日 9時00分～23時30分
2024-03-05 火曜日 9時00分～23時30分
2024-03-06 水曜日 9時00分～23時30分"
ノアスタジオ 新宿１号店,〒160-0023 東京都新宿区西新宿１丁目３-１４,,0,413.1,35.693295,139.698273,新宿駅,319.0,新宿駅|西武新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|station:新大久保駅|feature:24h,https://www.noahstudio.jp/shop/shinjuku/,03-5909-0331,"2024-02-29 木曜日 9時30分～6時00分
2024-03-01 金曜日 9時30分～6時00分
2024-03-02 土曜日 8時30分～6時00分
2024-03-03 日曜日 8時30分～6時00分
2024-03-04 月曜日 9時30分～6時00分
2024-03-05 火曜日 9時30分～6時00分
2024-03-06 水曜日 9時30分～6時00分"
サウンドスタジオノア 新宿店,〒160-0023 東京都新宿区西新宿７丁目１０-１２,,0,503.4,35.694215,139.698511,西武新宿駅,262.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://www.studionoah.jp/shinjuku/,03-5332-8366,"2024-02-29 木曜日 9時00分～6時00分
2024-03-01 金曜日 9時00分～6時00分
2024-03-02 土曜日 9時00分～6時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～6時00分
2024-03-06 水曜日 9時00分～6時00分"
