rank,studio_title,group_key,is_partner,dslurl,address,primary_station,candidate_stations,article_station,distance_to_article_station_m,article_match_method,rental_fit_score,rental_fit_reason,selection_score,selection_reason,score_rental_fit,score_partner,score_distance,score_review_count,score_rating,score_business_status,score_meo,score_penalty,google_rating,google_review_count,official_url,website,branches,internal_note
1,BUZZ レンタルスタジオ池袋東口BASE,BUZZ レンタルスタジオ池袋東口BASE,1,https://dance-studio-lab.com/room/NWY2ZjE2OGUtZDYyYi00ZTk5LThlMjctZDI1YjllMmRjM2Jk/detail,〒170-0013 東京都豊島区東池袋１丁目３６-７ B1,池袋駅,池袋駅,池袋駅,488.3,station_distance,60,+30(dslurl)|+30(レンタルスタジオ),96,提携(+25) | fit=60(+50) | 488m(+12) | 口コミ9件(+6) | 評価4.0(+3),50,25,12,6,3,0,0,0,4.0,9.0,https://buzz-st.com/ikebukuro5/,https://buzz-st.com/ikebukuro5/,,
2,レンタルスタジオAivic池袋西口 レンタルスタジオAivic池袋西口,レンタルスタジオAivic池袋西口 レンタルスタジオAivic池袋西口,1,https://dance-studio-lab.com/room/MjJkZDA5OWItZjVjNS00M2Q2LWEwNjUtMzM3Y2IwZWZlMTI1/detail,東京都豊島区西池袋3-23-8 平井ビル7階,池袋駅,池袋駅|要町駅|目白駅|東池袋駅|椎名町駅|都電雑司ヶ谷駅|雑司が谷駅|東池袋四丁目駅|北池袋駅|学習院下駅,池袋駅,315.5,station_distance,60,+30(dslurl)|+30(レンタルスタジオ),77,提携(+20) | fit=60(+50) | 316m(+12) | 低評価ペナルティ(-5),50,20,12,0,0,0,0,-5,,,,,,
3,レンタルスタジオAivic池袋東口2号店,レンタルスタジオAivic池袋東口2,1,https://dance-studio-lab.com/room/ZTVmNmYwZGYtZTExNy00YTlkLTk4MDktODhhMWE2ZTYyNmNj/detail,東京都豊島区東池袋2-57-1 K/B東池袋Ⅱ 5F,池袋駅,池袋駅|向原駅|東池袋駅|北池袋駅|東池袋四丁目駅|大塚駅|都電雑司ヶ谷駅|庚申塚駅|新大塚駅|板橋駅,池袋駅,732.9,station_distance,60,+30(dslurl)|+30(レンタルスタジオ),73,提携(+20) | fit=60(+50) | 733m(+8) | 低評価ペナルティ(-5),50,20,8,0,0,0,0,-5,,,,,,
4,レンタルスタジオAivic池袋東口1号店,レンタルスタジオAivic池袋東口1,1,https://dance-studio-lab.com/room/ZTU1MDVkNDQtZjUzNi00MWRiLWFhMDctZTk3YTg1YjRjNDUx/detail,東京都豊島区東池袋3-11-9 三島ビル501,向原駅,向原駅|東池袋駅|東池袋四丁目駅|池袋駅|大塚駅|都電雑司ヶ谷駅|北池袋駅|新大塚駅|庚申塚駅|雑司が谷駅,池袋駅,801.3,station_distance,60,+30(dslurl)|+30(レンタルスタジオ),69,提携(+20) | fit=60(+50) | 801m(+4) | 低評価ペナルティ(-5),50,20,4,0,0,0,0,-5,,,,,,
5,池袋レンタルスタジオ Studio M Ikebukuro Tokyo,池袋レンタルスタジオ Studio M Ikebukuro Tokyo,0,,〒171-0014 東京都豊島区池袋２丁目５３-３ スクエア21 １Ｆ,池袋駅,池袋駅,池袋駅,425.7,station_distance,30,+30(レンタルスタジオ),54,fit=30(+15) | 426m(+12) | 口コミ30件(+15) | 評価4.8(+12),15,0,12,15,12,0,0,0,4.8,30.0,http://mstudio-ikebukuro.com/,http://mstudio-ikebukuro.com/,,
6,BUZZ池袋西口PARK,BUZZ池袋西口PARK,1,https://dance-studio-lab.com/room/ZjBiN2M3MDEtZTMzYS00ZGZkLTg3YTktYjU3MjdjNDk3Njli/detail,東京都豊島区西池袋3-30-10ライオンビルB1,池袋駅,池袋駅,池袋駅,464.6,station_distance,30,+30(dslurl),53,提携(+20) | fit=30(+15) | 465m(+12) | 口コミ9件(+6) | 評価3.4(+0),15,20,12,6,0,0,0,0,3.4,9.0,,,,
7,BUZZ レンタルスタジオ 池袋本店,BUZZ,0,,〒171-0022 東京都豊島区南池袋１丁目２０-１ 横田ビル 3F,池袋駅,池袋駅,池袋駅,318.5,station_distance,30,+30(レンタルスタジオ),47,fit=30(+15) | 318m(+12) | 口コミ32件(+15) | 評価4.1(+5),15,0,12,15,5,0,0,0,4.1,32.0,https://buzz-st.com/ikebukuro4/,https://buzz-st.com/ikebukuro4/,BUZZ レンタルスタジオ 池袋西口PARK店,
8,レンタルスタジオ Sunny 池袋店,Sunny,0,,〒170-0013 東京都豊島区東池袋３丁目１１-９,池袋駅,池袋駅,池袋駅,795.3,station_distance,30,+30(レンタルスタジオ),45,fit=30(+15) | 795m(+8) | 口コミ29件(+10) | 評価4.9(+12),15,0,8,10,12,0,0,0,4.9,29.0,https://11dance.com/,https://11dance.com/,,
9,レンタルスタジオSunny 池袋3号店,レンタルスタジオSunny,0,,〒170-0013 東京都豊島区東池袋２丁目３９-２ マルミビル 2階 A号室,池袋駅,池袋駅,池袋駅,922.6,station_distance,30,+30(レンタルスタジオ),41,fit=30(+15) | 923m(+4) | 口コミ29件(+10) | 評価4.9(+12),15,0,4,10,12,0,0,0,4.9,29.0,https://11dance.com/,https://11dance.com/,,
10,TDSレンタルスタジオ池袋（120㎡）,TDSレンタルスタジオ池袋,0,,〒171-0014 東京都豊島区池袋２丁目６４-１１ ｢平和ビル/4F｣,池袋駅,池袋駅,池袋駅,564.9,station_distance,50,+30(レンタルスタジオ)|+20(web),38,fit=50(+35) | 565m(+8) | 低評価ペナルティ(-5),35,0,8,0,0,0,0,-5,,,https://takigawa-ds.com/rental/index.php?%E6%B1%A0%E8%A2%8B,https://takigawa-ds.com/rental/index.php?%E6%B1%A0%E8%A2%8B,,
