article_title,studio_title,group_key,is_partner,business_status,google_rating,google_review_count,rental_fit_score,distance_to_article_station_m,score_rental_fit,score_partner,score_distance,score_review_count,score_rating,score_business_status,score_meo,score_penalty,selection_score,selection_reason,selected
池袋駅のレンタルダンススタジオおすすめ,BUZZ レンタルスタジオ 池袋本店,BUZZ,0,OPERATIONAL,4.1,32.0,30,318.5,15,0,12,15,5,0,0,0,47,fit=30(+15) | 318m(+12) | 口コミ32件(+15) | 評価4.1(+5),True
池袋駅のレンタルダンススタジオおすすめ,C Production Dance Studio,C Production Dance Studio,0,OPERATIONAL,,,25,656.4,15,0,8,0,0,0,0,-5,18,fit=25(+15) | 656m(+8) | 低評価ペナルティ(-5),True
池袋駅のレンタルダンススタジオおすすめ,BUZZ レンタルスタジオ池袋東口BASE,BUZZ レンタルスタジオ池袋東口BASE,1,OPERATIONAL,4.0,9.0,60,488.3,50,25,12,6,3,0,0,0,96,提携(+25) | fit=60(+50) | 488m(+12) | 口コミ9件(+6) | 評価4.0(+3),True
池袋駅のレンタルダンススタジオおすすめ,Studio ROZE (スタジオロゼ） レンタルスタジオ ヨガスタジオ 整体サロン 池袋 安い,Studio ROZE レンタルスタジオ ヨガスタジオ 整体サロン 池袋 安い,0,OPERATIONAL,4.3,3.0,30,410.7,15,0,12,3,6,0,0,0,36,fit=30(+15) | 411m(+12) | 口コミ3件(+3) | 評価4.3(+6),True
池袋駅のレンタルダンススタジオおすすめ,レンタルスタジオ Sunny 池袋店,Sunny,0,OPERATIONAL,4.9,29.0,30,795.3,15,0,8,10,12,0,0,0,45,fit=30(+15) | 795m(+8) | 口コミ29件(+10) | 評価4.9(+12),True
池袋駅のレンタルダンススタジオおすすめ,BUZZ レンタルスタジオ 池袋西口PARK店,BUZZ,0,OPERATIONAL,3.4,9.0,30,379.7,15,0,12,6,0,0,0,0,33,fit=30(+15) | 380m(+12) | 口コミ9件(+6) | 評価3.4(+0),False
池袋駅のレンタルダンススタジオおすすめ,TDSレンタルスタジオ池袋（120㎡）,TDSレンタルスタジオ池袋,0,OPERATIONAL,,,50,564.9,35,0,8,0,0,0,0,-5,38,fit=50(+35) | 565m(+8) | 低評価ペナルティ(-5),True
池袋駅のレンタルダンススタジオおすすめ,レンタルスタジオSunny 池袋3号店,レンタルスタジオSunny,0,OPERATIONAL,4.9,29.0,30,922.6,15,0,4,10,12,0,0,0,41,fit=30(+15) | 923m(+4) | 口コミ29件(+10) | 評価4.9(+12),True
池袋駅のレンタルダンススタジオおすすめ,レンタルスタジオひより,レンタルスタジオひより,0,OPERATIONAL,,,30,620.1,15,0,8,0,0,0,0,-5,18,fit=30(+15) | 620m(+8) | 低評価ペナルティ(-5),True
池袋駅のレンタルダンススタジオおすすめ,池袋レンタルスタジオ Studio M Ikebukuro Tokyo,池袋レンタルスタジオ Studio M Ikebukuro Tokyo,0,OPERATIONAL,4.8,30.0,30,425.7,15,0,12,15,12,0,0,0,54,fit=30(+15) | 426m(+12) | 口コミ30件(+15) | 評価4.8(+12),True
池袋駅のレンタルダンススタジオおすすめ,BUZZ池袋西口PARK,BUZZ池袋西口PARK,1,OPERATIONAL,3.4,9.0,30,464.6,15,20,12,6,0,0,0,0,53,提携(+20) | fit=30(+15) | 465m(+12) | 口コミ9件(+6) | 評価3.4(+0),True
池袋駅のレンタルダンススタジオおすすめ,スタジオピアーチェ池袋店,スタジオピ,1,OPERATIONAL,,,30,865.4,15,15,4,0,0,0,0,-5,29,提携(+15) | fit=30(+15) | 865m(+4) | 低評価ペナルティ(-5),True
池袋駅のレンタルダンススタジオおすすめ,レンタルスタジオAivic池袋東口1号店,レンタルスタジオAivic池袋東口1,1,OPERATIONAL,,,60,801.3,50,20,4,0,0,0,0,-5,69,提携(+20) | fit=60(+50) | 801m(+4) | 低評価ペナルティ(-5),True
池袋駅のレンタルダンススタジオおすすめ,レンタルスタジオAivic池袋西口 レンタルスタジオAivic池袋西口,レンタルスタジオAivic池袋西口 レンタルスタジオAivic池袋西口,1,OPERATIONAL,,,60,315.5,50,20,12,0,0,0,0,-5,77,提携(+20) | fit=60(+50) | 316m(+12) | 低評価ペナルティ(-5),True
池袋駅のレンタルダンススタジオおすすめ,レンタルスタジオAivic池袋東口2号店,レンタルスタジオAivic池袋東口2,1,OPERATIONAL,,,60,732.9,50,20,8,0,0,0,0,-5,73,提携(+20) | fit=60(+50) | 733m(+8) | 低評価ペナルティ(-5),True
