タイトル,住所,dslurl,Webサイト,電話番号,営業時間,rental,longitude,latitude,pref,primary_station,distance_to_primary_station_m,candidate_stations,station_count,ward,primary_area,candidate_areas,article_tags,is_partner
スタジオハイシー,〒160-0023 東京都新宿区西新宿３丁目２?２７ 第7 7 オーチュー B1階,,https://studio-hide-and-seek.co.jp/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1,35.6871346,139.6938695,東京,新宿駅,714,新宿駅|代々木駅|西武新宿駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:代々木駅|station:西武新宿駅|feature:24h,
レンタルスタジオswamp西新宿,〒160-0023 東京都新宿区西新宿５丁目２１?５ ＢＩＴ西新宿 B01号室,,https://www.st-swamp2023.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1,35.6922065,139.6840186,東京,なし,,,0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h,
ソニズレンタルスタジオ新宿店,〒160-0023 東京都新宿区西新宿７丁目２２?３１ 柏木 MURA B1F,,https://sonysdance.com/,,"2024-02-29 木曜日 6時00分～23時00分
2024-03-01 金曜日 6時00分～23時00分
2024-03-02 土曜日 6時00分～23時00分
2024-03-03 日曜日 6時00分～23時00分
2024-03-04 月曜日 6時00分～23時00分
2024-03-05 火曜日 6時00分～23時00分
2024-03-06 水曜日 6時00分～23時00分",1,35.6970176,139.6966672,東京,西武新宿駅,375,西武新宿駅|新大久保駅|新宿駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新大久保駅|station:新宿駅|feature:24h,
BUZZ新宿,〒160-0023 東京都新宿区西新宿７丁目１６?４ Concierge高橋 BF 地下1階,,https://buzz-st.com/shinjuku/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1,35.6959773,139.6972769,東京,西武新宿駅,298,西武新宿駅|新宿駅|新大久保駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,
レンタルダンススタジオ LANDstudio 新宿店,〒169-0073 東京都新宿区百人町１丁目２２?１９ 筒井ビル B1F,,https://land-studio.jp/?utm_source=gbp&utm_medium=referral,,"LGBTQ フレンドリー2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1,35.7002941,139.6972499,東京,新大久保駅,276,新大久保駅|西武新宿駅|新宿駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,
BUZZ レンタルスタジオ新宿コンシェルジュ店,〒160-0023 東京都新宿区西新宿７丁目１６?４ Concierge高橋 BF 地下 一階,,https://buzz-st.com/shinjuku4,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1,35.6959487,139.6973397,東京,西武新宿駅,292,西武新宿駅|新宿駅|新大久保駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,
BUZZ レンタルスタジオ 新宿ハウス店,〒160-0023 東京都新宿区西新宿７丁目１６?１,,https://buzz-st.com/shinjuku2/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1,35.6957677,139.6975152,東京,西武新宿駅,276,西武新宿駅|新宿駅|新大久保駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,
村田正樹タップダンス教室,〒169-0074 東京都新宿区北新宿２丁目１?２,,https://www.muratamasaki.com/lesson,,"2024-02-29 木曜日 定休日
2024-03-01 金曜日 定休日
2024-03-02 土曜日 定休日
2024-03-03 日曜日 10時00分～14時00分
2024-03-04 月曜日 定休日
2024-03-05 火曜日 11時30分～13時00分
2024-03-06 水曜日 定休日",1,35.6970596,139.68932,東京,西武新宿駅,1025,西武新宿駅|新大久保駅,2,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新大久保駅|feature:24h,
㈱Tera-coya,〒101-0025 東京都千代田区神田佐久間町３丁目３１?３,,http://teracoya.tokyo/,03-5829-8450,"2024-02-29 木曜日 10時00分～23時00分
2024-03-01 金曜日 10時00分～23時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 10時00分～23時00分
2024-03-06 水曜日 10時00分～23時00分
",1,35.698614,139.778191,東京,秋葉原駅,359,秋葉原駅,1,千代田区,秋葉原,秋葉原,area:秋葉原|station:秋葉原駅|feature:24h,
ラシーヌスタジオ,〒160-0004 東京都新宿区四谷４丁目２５?１３ 濱庄ビル B101,,https://racinestudio.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1,35.6895504,139.7151154,東京,なし,,,0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h,
